#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)"
505000,504.9999999949702,-37773.214986973995,6683.297124535033,-31089.91786243896,259.0447581753488
510000,509.999999994852,-37857.1287692027,6566.471295948233,-31290.65747325447,254.51658623401718
515000,514.9999999947338,-37851.30900188809,6690.118095586455,-31161.190906301636,259.30913917825984
520000,519.9999999946156,-37947.807520225535,6500.236827723912,-31447.570692501624,251.94933664383296
525000,524.9999999944973,-37574.06558745811,6514.836955861137,-31059.228631596976,252.5152379635202
530000,529.9999999943791,-37473.949806175195,6663.66513522234,-30810.284670952853,258.2838217948103
535000,534.9999999942609,-37853.62360603104,6884.935334547669,-30968.68827148337,266.86026007184245
540000,539.9999999941426,-37802.23828947851,6828.853381981231,-30973.384907497282,264.68652223408543
545000,544.9999999940244,-37689.59434087874,6673.895379366831,-31015.698961511913,258.68034630525824
550000,549.9999999939062,-37783.65146317363,6776.225611801805,-31007.425851371823,262.64666858918474
555000,554.9999999937879,-37972.976546428166,6693.2527092877235,-31279.723837140442,259.4306368811283
560000,559.9999999936697,-37402.10045637823,6743.525781064934,-30658.5746753133,261.3792223590133
565000,564.9999999935515,-37682.99804181278,6665.994051204358,-31017.003990608424,258.3740906345956
570000,569.9999999934332,-37836.56259434854,6641.194438713657,-31195.368155634886,257.4128570547041
575000,574.999999993315,-37663.54183478353,6619.187755447671,-31044.35407933586,256.55987747910643
580000,579.9999999931968,-38149.38948432321,6688.198955775841,-31461.19052854737,259.2347532727881
585000,584.9999999930785,-37774.81135624209,6557.8310476487695,-31216.980308593324,254.18169000097484
590000,589.9999999929603,-37520.481946942346,6733.082278466883,-30787.399668475464,260.9744319457479
595000,594.999999992842,-37594.77606246659,6639.385490744591,-30955.390571721997,257.3427421876756
600000,599.9999999927238,-37669.40449058034,6964.0950882894,-30705.30940229094,269.92849404126565
605000,604.9999999926056,-37599.159881823514,6550.527339296302,-31048.63254252721,253.89859808860083
610000,609.9999999924873,-37890.14101523343,6630.946008412166,-31259.19500682126,257.0156276483709
615000,614.9999999923691,-37490.75315626356,6739.969433684202,-30750.783722579363,261.24137824852966
620000,619.9999999922509,-37332.779998041195,6672.742619020758,-30660.037379020436,258.6356652863662
625000,624.9999999921326,-37632.47783802783,6545.261031029031,-31087.216806998797,253.69447585280142
630000,629.9999999920144,-37954.539607361796,6630.539254135447,-31324.00035322635,256.9998618427684
635000,634.9999999918962,-37686.6468664892,6523.616070781123,-31163.03079570808,252.85551667013235
640000,639.9999999917779,-37777.75085930496,7011.779249573403,-30765.971609731554,271.77673328582387
645000,644.9999999916597,-37833.19204036604,6904.347922382474,-30928.844117983565,267.6126924457921
650000,649.9999999915415,-37846.0659100253,6689.527086225174,-31156.53882380013,259.2862316411236
655000,654.9999999914232,-38005.73210772188,6572.992092706588,-31432.740015015293,254.76933247406947
660000,659.999999991305,-37869.24435951937,6773.821799312522,-31095.422560206847,262.5534967589665
665000,664.9999999911868,-37726.76563382699,6611.275294097888,-31115.4903397291,256.2531902858344
670000,669.9999999910685,-37631.443219367495,6697.314294064753,-30934.128925302743,259.588064005311
675000,674.9999999909503,-37876.02012489454,6706.844852253176,-31169.17527264136,259.95746867118066
680000,679.9999999908321,-37898.10213554345,6659.676732133461,-31238.425403409987,258.1292311946301
685000,684.9999999907138,-37634.40579318721,6709.382863674959,-30925.022929512248,260.055842055268
690000,689.9999999905956,-37714.028647913874,6806.555535921791,-30907.473111992083,263.822257181572
695000,694.9999999904774,-37903.897808333,6727.849094202924,-31176.048714130076,260.77159359711794
700000,699.9999999903591,-38038.717118978064,6701.113556275537,-31337.603562702527,259.73532350048214
705000,704.9999999902409,-37697.88539626565,6825.3654870476075,-30872.51990921804,264.5513313421072
710000,709.9999999901227,-37405.08203134917,6897.235003508475,-30507.847027840697,267.33699553821754
715000,714.9999999900044,-37585.57369342813,6756.325351661057,-30829.248341767074,261.87533402486287
720000,719.9999999898862,-37705.8205260814,6843.08680662402,-30862.733719457377,265.23821011746
725000,724.999999989768,-38166.09492446023,6952.413589360946,-31213.681335099285,269.47571886029425
730000,729.9999999896497,-37888.95957752207,6627.159399568494,-31261.800177953577,256.86885859801515
735000,734.9999999895315,-38303.65817582973,6627.0682384731135,-31676.58993735662,256.8653251917536
740000,739.9999999894133,-37771.80562142336,6791.379604956857,-30980.426016466503,263.2340377303576
745000,744.999999989295,-38013.33829804147,6669.747915335694,-31343.590382705774,258.5195904991094
750000,749.9999999891768,-37936.90396424416,6671.853712356291,-31265.050251887864,258.6012112425542
755000,754.9999999890586,-37668.84451518037,6850.050407803373,-30818.794107376994,265.508119467579
760000,759.9999999889403,-37860.88346588632,6787.414046033352,-31073.46941985297,263.0803325705798
765000,764.9999999888221,-38079.55416830542,6657.97487480822,-31421.579293497198,258.0632671635462
770000,769.9999999887038,-37672.48945856707,6688.9734719884345,-30983.515986578634,259.2647735399191
775000,774.9999999885856,-37789.60770506189,6799.463276678552,-30990.14442838334,263.5473610417854
780000,779.9999999884674,-38159.32883994557,6749.853685112703,-31409.475154832868,261.6244920729384
785000,784.9999999883491,-37801.62716430248,6789.736230871064,-31011.890933431416,263.17034051104906
790000,789.9999999882309,-37854.65691299886,6666.4959689253465,-31188.160944073512,258.3935449775995
795000,794.9999999881127,-37752.37071570522,6743.804719197371,-31008.56599650785,261.39003400777233
800000,799.9999999879944,-37815.582639544395,6772.660153797731,-31042.92248574666,262.50847135072
805000,804.9999999878762,-37979.83113348468,6794.930031975173,-31184.90110150951,263.3716523674508
810000,809.999999987758,-38193.4300112327,6736.892865215359,-31456.537146017337,261.1221303802738
815000,814.9999999876397,-37978.24196691998,6771.702536384599,-31206.539430535384,262.4713540766281
820000,819.9999999875215,-37772.425602177784,6551.608829794586,-31220.816772383198,253.940516686469
825000,824.9999999874033,-37921.66767069912,6592.352293858294,-31329.315376840827,255.51973433891527
830000,829.999999987285,-37805.61237954623,6642.208612831306,-31163.403766714928,257.45216646803084
835000,834.9999999871668,-38036.29451904519,6728.972728114477,-31307.32179093071,260.8151456747036
840000,839.9999999870486,-37909.45200301781,6836.787082301589,-31072.66492071622,264.9940326503705
845000,844.9999999869303,-38029.32785331488,6660.451258066334,-31368.87659524854,258.15925183851937
850000,849.9999999868121,-38196.04299769437,6735.700570433619,-31460.34242726075,261.0759170056992
855000,854.9999999866939,-37843.192501261256,6659.2604451039315,-31183.932056157326,258.1130958992981
860000,859.9999999865756,-37534.27191905101,6687.34951074214,-30846.92240830887,259.20182876273896
865000,864.9999999864574,-37692.993644779905,6952.468339994881,-30740.525304785024,269.4778409961896
870000,869.9999999863392,-37555.210982494675,6780.218043830606,-30774.99293866407,262.8014153511737
875000,874.9999999862209,-37507.767535230225,6710.246395791113,-30797.52113943911,260.08931258097374
880000,879.9999999861027,-37553.70190887652,6885.209679188287,-30668.492229688236,266.87089367674747
885000,884.9999999859845,-37580.843943999935,6806.97126830641,-30773.872675693525,263.83837097885396
890000,889.9999999858662,-37377.40469835631,6846.364607414052,-30531.040090942257,265.3652577553518
895000,894.999999985748,-37564.268006645034,6820.309696891195,-30743.958309753838,264.3553687933758
900000,899.9999999856298,-37558.78790506423,6810.378988564144,-30748.408916500084,263.9704542984557
905000,904.9999999855115,-38011.757020144716,6748.922116775237,-31262.83490336948,261.5883844616492
910000,909.9999999853933,-37695.713176081765,6692.674230977915,-31003.03894510385,259.4082150478502
915000,914.999999985275,-37652.99837114353,6781.041748884487,-30871.95662225904,262.83334217898255
920000,919.9999999851568,-37463.1805907909,6820.01306366682,-30643.167527124082,264.34387128242525
925000,924.9999999850386,-37644.72354503864,6564.484926540308,-31080.238618498333,254.4395945077278
930000,929.9999999849204,-37835.02928554789,6518.316085755839,-31316.71319979205,252.65008912237786
935000,934.9999999848021,-37571.46191607973,6699.114655933889,-30872.34726014584,259.65784607489854
940000,939.9999999846839,-37864.16698045354,6817.263562903744,-31046.903417549798,264.2373005663547
945000,944.9999999845656,-37949.32245833398,6650.842803435264,-31298.47965489872,257.7868279046489
950000,949.9999999844474,-38059.576682889376,6607.302403636766,-31452.27427925261,256.0992009554812
955000,954.9999999843292,-37904.44821874889,6691.662511268114,-31212.785707480776,259.369000767431
960000,959.999999984211,-37716.37509948478,6608.545205535029,-31107.82989394975,256.14737198711373
965000,964.9999999840927,-37732.63156144424,6616.292038273021,-31116.33952317122,256.4476394113872
970000,969.9999999839745,-38054.176134483365,6631.8984305535105,-31422.277703929853,257.0525435536028
975000,974.9999999838562,-37924.0576040014,6788.425375845597,-31135.632228155802,263.1195317385603
980000,979.999999983738,-37718.18361430569,6603.378720008121,-31114.804894297573,255.94711888314487
985000,984.9999999836198,-38187.53105160421,6879.78466701952,-31307.746384584687,266.660620073888
990000,989.9999999835015,-37902.751304172256,6734.291369294476,-31168.45993487778,261.02129633546593
995000,994.9999999833833,-37817.292708457084,6822.428575307833,-30994.86413314925,264.43749657204745
1000000,999.9999999832651,-37604.338398152366,6576.092556908245,-31028.24584124412,254.8895065415071
1005000,1004.9999999831468,-38067.09389096303,6606.881809312542,-31460.212081650487,256.0828987093027
1010000,1009.9999999830286,-37477.74694656822,6594.238438011265,-30883.50850855696,255.59284133189885
1015000,1014.9999999829104,-37355.9248807179,6724.856026598647,-30631.068854119258,260.655582224392
1020000,1019.9999999827921,-37459.54897698496,6593.258403516828,-30866.29057346813,255.55485517119337
1025000,1024.999999982674,-37655.523988682406,6763.947594334033,-30891.576394348373,262.1707723352032
1030000,1029.9999999825557,-37572.991264758275,6672.175887126309,-30900.815377631967,258.61369874443153
