#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)"
505000,504.9999999949702,-36490.67192871533,7242.495041612976,-29248.176887102356,280.71928296489165
510000,509.999999994852,-36878.24719956394,7049.921724268519,-29828.325475295424,273.25513652744144
515000,514.9999999947338,-36578.01124788856,7004.97203208628,-29573.039215802277,271.5128853713977
520000,519.9999999946156,-36321.79053366273,7371.548901674227,-28950.2416319885,285.72141370189485
525000,524.9999999944973,-36378.650970944465,7220.856017143249,-29157.794953801218,279.88055385312845
530000,529.9999999943791,-36427.437650340755,7288.130051627984,-29139.30759871277,282.48809705670715
535000,534.9999999942609,-36244.8087229705,6957.329321956129,-29287.479401014367,269.66625277456524
540000,539.9999999941426,-36598.18976249728,7244.373667938235,-29353.816094559043,280.79209856669127
545000,544.9999999940244,-36477.3503304418,6965.621002928927,-29511.72932751287,269.98763852959627
550000,549.9999999939062,-36276.48053954959,7192.3541779535335,-29084.12636159606,278.7758218768487
555000,554.9999999937879,-36427.75864576747,7139.4183467268585,-29288.34029904061,276.72402777830644
560000,559.9999999936697,-36189.548595573426,6961.585967985971,-29227.962627587454,269.83124047762436
565000,564.9999999935515,-36186.50110916164,7208.442154935361,-28978.05895422628,279.3993922537348
570000,569.9999999934332,-36164.928907128764,7210.818830150526,-28954.11007697824,279.49151224255195
575000,574.999999993315,-36520.24113496673,7094.160451959913,-29426.080683006818,274.969830682626
580000,579.9999999931968,-36574.055182316384,7281.541561371889,-29292.513620944497,282.2327270150453
585000,584.9999999930785,-36500.47670667351,7089.812951415972,-29410.663755257534,274.80132145640323
590000,589.9999999929603,-36624.39402806624,7028.528542535918,-29595.865485530325,272.4259362861147
595000,594.999999992842,-36280.620424981484,7544.768658294836,-28735.851766686646,292.4354156576437
600000,599.9999999927238,-36310.65961200416,7045.097779871407,-29265.56183213275,273.06816032594736
605000,604.9999999926056,-36321.95612023732,7303.757987115177,-29018.198133122147,283.09383621413554
610000,609.9999999924873,-36644.478624402014,7108.438433099609,-29536.040191302403,275.52324557689826
615000,614.9999999923691,-36792.14355419448,7392.083632766267,-29400.059921428212,286.5173403756328
620000,619.9999999922509,-36708.34246968398,7032.879890773667,-29675.462578910312,272.5945946490425
625000,624.9999999921326,-36686.33647599684,7204.03636357027,-29482.30011242657,279.22862367387444
630000,629.9999999920144,-36171.80284911968,7356.346538659291,-28815.45631046039,285.13216974378315
635000,634.9999999918962,-36229.16596407687,7295.564953205699,-28933.60101087117,282.77627402166445
640000,639.9999999917779,-36456.74066292102,7447.706787246306,-29009.03387567472,288.67329518846543
645000,644.9999999916597,-35823.83725793099,7180.365154457058,-28643.472103473927,278.3111270361836
650000,649.9999999915415,-36100.60170861947,7237.792934034926,-28862.808774584544,280.53702916145096
655000,654.9999999914232,-36871.3482072186,7262.0998313542,-29609.2483758644,281.4791650893823
660000,659.999999991305,-36857.76058441687,7187.209777485992,-29670.550806930878,278.57642479031495
665000,664.9999999911868,-36437.99380414357,7077.126968789202,-29360.866835354365,274.30961246299273
670000,669.9999999910685,-36736.11351703052,7254.979639915239,-29481.13387711528,281.203186297014
675000,674.9999999909503,-36757.774426950404,7060.016162186315,-29697.75826476409,273.64639718525837
680000,679.9999999908321,-36342.43732520372,7166.525628104913,-29175.911697098803,277.77470666008037
685000,684.9999999907138,-36536.08443301307,7247.89544095864,-29288.18899205443,280.9286025741324
