#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)"
505000,1009.9999999899404,-47711.44256927306,5761.224800630154,-41950.217768642906,260.8379727846221
510000,1019.999999989704,-47464.86163007771,5926.6778263109345,-41538.18380376677,268.32881601728616
515000,1029.9999999894676,-47605.05205516296,5933.268861362401,-41671.783193800555,268.62722343599836
520000,1039.9999999892311,-47614.756283253955,5585.180278584336,-42029.57600466962,252.867602274996
525000,1049.9999999889947,-47348.11647889076,5901.017143253792,-41447.09933563697,267.16703518412686
530000,1059.9999999887582,-47855.48377198563,5554.122409285633,-42301.361362699994,251.46146522129214
535000,1069.9999999885217,-47894.948211223294,5744.217264908347,-42150.73094631495,260.0679609740687
540000,1079.9999999882853,-47669.946345469216,5671.598965960737,-41998.34737950848,256.7801861449229
545000,1089.9999999880488,-47787.106405856204,5617.752308514944,-42169.35409734126,254.34229256232004
550000,1099.9999999878123,-47525.18125516287,5646.029038150432,-41879.15221701244,255.62251423224913
555000,1109.9999999875758,-47759.27074890741,5772.166888715536,-41987.10386019187,261.3333730116553
560000,1119.9999999873394,-47865.23523175198,5596.212244535917,-42269.02298721606,253.3670716993317
565000,1129.999999987103,-47862.556132967235,5661.1376160871605,-42201.418516880076,256.30655121692706
570000,1139.9999999868664,-47728.351434001874,5943.393414690072,-41784.9580193118,269.08560998690166
575000,1149.99999998663,-47988.5106422822,5631.7943214248635,-42356.71632085733,254.97804108941074
580000,1159.9999999863935,-47658.700160883425,5766.639102432464,-41892.06105845096,261.0831039077826
585000,1169.999999986157,-47880.54616208433,5602.448377825283,-42278.097784259044,253.64941103193945
590000,1179.9999999859206,-47760.631820343435,5612.715565587647,-42147.916254755786,254.1142553202305
595000,1189.999999985684,-47851.65287047508,5715.970183056592,-42135.68268741849,258.7890815999316
600000,1199.9999999854476,-47852.68736170011,5685.472095081516,-42167.215266618594,257.40828850184664
605000,1209.9999999852112,-47789.43275608134,5748.521712048039,-42040.9110440333,260.2628437125019
610000,1219.9999999849747,-47325.216042400105,5829.961212273693,-41495.25483012641,263.94999616333644
615000,1229.9999999847382,-47943.00292348664,5618.797632989126,-42324.20529049751,254.38961935934384
620000,1239.9999999845018,-47996.174444276665,5740.9768169151885,-42255.19762736148,259.9212505236525
625000,1249.9999999842653,-47794.58957122726,5795.1504844587635,-41999.4390867685,262.37394940442323
630000,1259.9999999840288,-47887.21988185041,5672.882940633874,-42214.336941216534,256.83831776839486
635000,1269.9999999837923,-47545.26704324223,5751.823929152941,-41793.44311408929,260.4123507435837
640000,1279.9999999835559,-47550.63940413564,5758.282070362069,-41792.35733377357,260.70474142772457
645000,1289.9999999833194,-48032.58701198775,5683.604547251431,-42348.98246473632,257.3237357536143
650000,1299.999999983083,-47780.84367835731,5664.555295254324,-42116.28838310299,256.46128576321547
655000,1309.9999999828465,-47612.39541626914,5722.541526751174,-41889.853889517966,259.0865974975196
660000,1319.99999998261,-47546.04515174549,5738.982486020868,-41807.062665724625,259.83095770475757
665000,1329.9999999823735,-47745.2698793147,5797.851175060604,-41947.418704254094,262.4962224776117
670000,1339.999999982137,-47850.86961263209,5639.7287113375005,-42211.14090129459,255.33726855435336
675000,1349.9999999819006,-47903.88644427236,5676.1822474416995,-42227.70419683066,256.9876930365243
680000,1359.9999999816641,-47749.95499214379,5816.9865140847,-41932.96847805909,263.3625700360415
685000,1369.9999999814277,-47660.637135070865,5753.279057231765,-41907.3580778391,260.4782312935288
690000,1379.9999999811912,-47771.17322521319,5785.568878717748,-41985.60434649544,261.940144666022
695000,1389.9999999809547,-48018.24341851234,5766.316211989646,-42251.9272065227,261.06848512593484
700000,1399.9999999807183,-47567.986524018284,5723.945660020208,-41844.040863998074,259.150169270552
705000,1409.9999999804818,-47497.66254597512,5650.060364979612,-41847.60218099551,255.80503151878875
710000,1419.9999999802453,-47881.64408047672,5754.164119095081,-42127.479961381636,260.51830224201717
715000,1429.9999999800089,-47580.82223126764,5729.669865682239,-41851.152365585396,259.4093312113468
720000,1439.9999999797724,-47578.73558976967,5565.94241586323,-42012.79317390644,251.9966129825224
725000,1449.999999979536,-47595.48140062095,5603.555238901481,-41991.92616171947,253.69952388281064
730000,1459.9999999792994,-47521.84957346687,5878.778090895828,-41643.07148257104,266.16016780185294
735000,1469.999999979063,-47898.754984426254,5630.623513720156,-42268.131470706096,254.92503307136167
740000,1479.9999999788265,-47607.83208787383,5688.641825112558,-41919.19026276127,257.5517972146955
745000,1489.99999997859,-47231.78215518396,5708.1404817097355,-41523.64167347422,258.43459388291006
750000,1499.9999999783536,-47569.18347151921,5892.846074979707,-41676.3373965395,266.7970921671726
755000,1509.999999978117,-47496.65078175289,5772.706319508685,-41723.94446224421,261.3577956022349
760000,1519.9999999778806,-47868.92653450993,5932.788130572797,-41936.13840393713,268.6054584729992
765000,1529.9999999776442,-47745.22437562322,5505.137604886967,-42240.086770736256,249.2436907863835
770000,1539.9999999774077,-48148.57922324998,5861.718274779143,-42286.860948470836,265.3877890098523
775000,1549.9999999771712,-47721.43935661297,5900.848472566529,-41820.59088404644,267.1593986620927
780000,1559.9999999769348,-47529.42094049917,5686.174271473323,-41843.246669025844,257.44007935759595
785000,1569.9999999766983,-47732.42956078058,5768.883269796292,-41963.54629098429,261.1847080086512
790000,1579.9999999764618,-47803.25135706435,5866.547271879527,-41936.70408518482,265.6064206129984
795000,1589.9999999762254,-47624.967553281924,5807.00327605756,-41817.96427722437,262.9105814990657
800000,1599.9999999759889,-47906.60915297107,5837.779128249252,-42068.830024721814,264.3039503007001
805000,1609.9999999757524,-47461.21103004698,5833.733115719368,-41627.47791432761,264.1207681228339
810000,1619.999999975516,-47522.97742327745,5740.404925874376,-41782.572497403075,259.895358303699
815000,1629.9999999752795,-47480.8097692139,5835.899662163038,-41644.91010705086,264.2188579564833
820000,1639.999999975043,-47645.17920925724,5724.09003665969,-41921.08917259755,259.156705885814
825000,1649.9999999748065,-47469.9641002501,5775.7265126478615,-41694.23758760224,261.4945340707207
830000,1659.99999997457,-47689.45953019051,5822.44359811606,-41867.01593207445,263.6096381136315
835000,1669.9999999743336,-47516.00236390479,5890.532263481207,-41625.47010042358,266.6923349459983
840000,1679.9999999740971,-47496.77012315561,5772.966113321431,-41723.80400983418,261.3695577003657
845000,1689.9999999738607,-47629.92553650361,5830.950354755241,-41798.97518174836,263.99477933507694
850000,1699.9999999736242,-47760.23499623698,5727.053311489476,-42033.1816847475,259.2908673924646
855000,1709.9999999733877,-47833.080205143255,5634.7994367113315,-42198.28076843193,255.11409691198872
860000,1719.9999999731513,-47742.984264338156,5863.122131726042,-41879.862132612114,265.4513482724711
865000,1729.9999999729148,-47452.85563111596,5884.025065663911,-41568.83056545205,266.3977232365253
870000,1739.9999999726783,-47595.77378964523,5684.600157610728,-41911.1736320345,257.3688117568583
