#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)"
505000,1009.9999999899404,-46723.22475551907,6139.3101185624055,-40583.914636956666,277.9556884235416,26.791924782855435,0.9893211129819895
510000,1019.999999989704,-46840.030182255956,6106.3869853230935,-40733.64319693286,276.4651020241147,26.625547521217708,0.9955031656713159
515000,1029.9999999894676,-46828.96461646474,5955.95266836426,-40873.01194810048,269.6542269705168,26.613180748675845,0.9959657620565742
520000,1039.9999999892311,-46651.30535439291,5993.78468020835,-40657.52067418456,271.36706158767964,26.18185328736098,1.0123735915172856
525000,1049.9999999889947,-46976.86866409326,6072.443566157245,-40904.425097936015,274.92832244147627,26.79059141613109,0.9893703514564692
530000,1059.9999999887582,-46678.80084362731,6028.551856908979,-40650.24898671833,272.94113658108114,26.752152545893875,0.9907919297197862
535000,1069.9999999885217,-46670.843990666675,6091.764024821223,-40579.07996584545,275.8030512440444,26.455938295215184,1.001885344202595
540000,1079.9999999882853,-46997.61581334338,6166.920728600391,-40830.69508474298,279.2057516998205,26.948940140710967,0.9835569305029079
545000,1089.9999999880488,-46614.90236518753,6075.055214003415,-40539.84715118412,275.0465641267769,26.499359101440504,1.000243694333854
550000,1099.9999999878123,-46795.925301636744,6143.333116935832,-40652.592184700916,278.1378286413865,26.591443335990633,0.9967799231578207
555000,1109.9999999875758,-46674.58977612917,6239.979539917785,-40434.61023621139,282.51347061334013,26.616760751838527,0.9958318028339876
560000,1119.9999999873394,-46800.937063828576,6230.856257636273,-40570.0808061923,282.10041635182426,26.258129297795904,1.0094327948689465
565000,1129.999999987103,-46366.449014066544,6248.784248312713,-40117.66476575383,282.9121015239829,26.84063055395211,0.9875258627708162
570000,1139.9999999868664,-46968.0700147936,6038.989615573003,-40929.0803992206,273.4137034231251,26.912553521801915,0.9848867304112138
575000,1149.99999998663,-46817.50068959792,6206.612650168667,-40610.88803942925,281.00279325193327,26.214205669023805,1.0111241660251815
580000,1159.9999999863935,-46882.05601438938,6140.97020889399,-40741.08580549539,278.03084858682536,26.694595840205643,0.9929281942970258
585000,1169.999999986157,-46729.41518343636,6057.79374270171,-40671.62144073465,274.26505544807986,26.55603609555794,0.9981089327385703
590000,1179.9999999859206,-46620.072774777655,6288.314151240274,-40331.75862353738,284.7018077237601,26.566485401860678,0.9977163499108488
595000,1189.999999985684,-46711.93655707437,6140.267526875894,-40571.66903019848,277.9990348389757,26.51690023770104,0.9995820253311132
600000,1199.9999999854476,-46878.227357964206,6249.858379591433,-40628.368978372775,282.96073254168164,26.396763989633065,1.0041312963783762
605000,1209.9999999852112,-46682.58063200163,5983.390019960382,-40699.190612041246,270.8964460153506,26.383688846574753,1.0046289205137207
610000,1219.9999999849747,-46893.86815505294,6263.895900534015,-40629.97225451893,283.5962776961051,26.028841380305757,1.018324882687995
615000,1229.9999999847382,-46661.633357126964,6097.270471041091,-40564.36288608587,276.0523541820379,26.505467092010424,1.000013195507653
620000,1239.9999999845018,-46758.416300170415,6127.588967084406,-40630.82733308601,277.42501630154965,26.63977952037777,0.994971329429697
625000,1249.9999999842653,-46789.29347198113,6200.792043162644,-40588.50142881849,280.7392667650548,26.45801039224149,1.0018068801150979
630000,1259.9999999840288,-46767.08893051831,6253.264396379109,-40513.8245341392,283.11493907673486,26.453265833046157,1.0019865604643976
635000,1269.9999999837923,-47071.12873435719,6109.830990358043,-40961.297743999145,276.62102846730403,26.45517245507224,1.0019143473783076
640000,1279.9999999835559,-46933.509849611146,6009.282497847148,-40924.227351764,272.0687212998727,26.701438119528067,0.9926737551158072
645000,1289.9999999833194,-46705.64199504431,6060.079631845116,-40645.56236319919,274.3685484918006,26.721209423157976,0.9919392653737066
650000,1299.999999983083,-46623.73968073289,5986.990764901969,-40636.748915830925,271.05946881754625,26.449594694652824,1.0021256337233335
655000,1309.9999999828465,-46633.82272806892,5775.971039537775,-40857.85168853114,261.50560496284237,26.28676482553712,1.0083331676994487
660000,1319.99999998261,-46778.26988057222,5998.125156909105,-40780.144723663114,271.56357555523385,26.4172881896397,1.0033511636330372
665000,1329.9999999823735,-46814.16941598983,6107.412429865097,-40706.75698612473,276.5115287623163,26.386746369029698,1.0045125107282777
