# Re-calculated order parameters.
#     Time       Orderp
         0     0.110032
         1     0.114086
         2     0.113638
         3     0.111199
         4     0.113446
         5     0.111616
         6     0.110928
         7     0.113422
         8     0.111975
         9     0.111279
        10     0.112024
        11     0.110709
        12     0.112767
        13     0.111324
        14     0.112279
        15     0.111947
        16     0.110252
        17     0.111380
        18     0.110759
        19     0.110243
        20     0.111046
        21     0.110917
        22     0.111585
        23     0.111019
        24     0.111222
        25     0.113057
        26     0.111061
        27     0.110835
        28     0.110961
        29     0.110537
        30     0.110957
        31     0.111112
        32     0.110659
