#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)"
505000,252.4999999974851,-33863.91598153068,9690.177791286093,-24173.738190244585,298.6137129181226
510000,254.999999997426,-33738.702863828745,9861.158286720925,-23877.54457710782,302.6779803818147
515000,257.4999999973669,-33537.83139961003,10035.696852345623,-23502.13454726441,304.5032228852828
520000,259.9999999973078,-33578.456308164634,9782.796792807867,-23795.65951535677,295.50108332109926
525000,262.49999999724866,-33634.05653813039,9835.990190781213,-23798.066347349177,295.0109701595239
530000,264.99999999718955,-33698.25905431644,9991.369057583968,-23706.889996732472,302.21114628650105
535000,267.49999999713043,-33731.53735780809,9817.343021780383,-23914.194336027707,295.5976079416708
540000,269.9999999970713,-33295.3183682519,9610.750812333932,-23684.56755591797,297.63192368406527
545000,272.4999999970122,-33694.51714500459,9796.778588765437,-23897.73855623915,305.6916403262638
550000,274.9999999969531,-33603.057646621484,9568.512018701176,-24034.545627920306,286.73716506439735
555000,277.49999999689396,-33366.376489090966,9904.32504799512,-23462.051441095846,294.1010848826737
560000,279.99999999683484,-33110.41851416067,9569.268186084068,-23541.150328076605,291.03595942296715
565000,282.4999999967757,-33319.06667638314,9383.469946249897,-23935.596730133242,286.50970441027494
570000,284.9999999967166,-33267.724742861,10188.447252833925,-23079.277490027074,312.09281665910424
575000,287.4999999966575,-33373.13656078465,9719.439334321834,-23653.69722646282,291.41078835143753
580000,289.9999999965984,-33539.49550724053,9747.772681294071,-23791.722825946457,292.5530061087384
585000,292.49999999653926,-33557.42251076549,9802.611739602566,-23754.810771162927,297.19090752727686
590000,294.99999999648014,-32945.52261407627,9803.917676181609,-23141.60493789466,297.2854496549745
595000,297.499999996421,-33046.320404728875,9747.99529521595,-23298.325109512924,297.5285959408707
600000,299.9999999963619,-33542.092894966016,9973.11899746933,-23568.973897496686,303.162088835631
605000,302.4999999963028,-33269.00161480671,9865.763683825036,-23403.23793098167,302.0420434386881
610000,304.9999999962437,-33459.99595069862,9903.721854382455,-23556.274096316163,298.22109760186123
615000,307.49999999618456,-33496.168536309386,9775.365610699548,-23720.802925609838,293.02430083622545
620000,309.99999999612544,-33743.84964214894,9764.85338041619,-23978.996261732747,293.5119116570882
625000,312.4999999960663,-33120.994773900835,9809.043723153842,-23311.951050746993,290.4756478648094
630000,314.9999999960072,-33495.10730573884,9979.284580408857,-23515.822725329985,305.9069951160065
635000,317.4999999959481,-32942.555255821906,9989.904221372657,-22952.65103444925,296.52088808358866
640000,319.99999999588897,-33405.025077940896,9630.42225199554,-23774.602825945356,292.8612503808437
645000,322.49999999582985,-33731.42343997839,9721.46271991934,-24009.960720059047,292.3053990262985
650000,324.99999999577074,-33443.05858655111,9878.317696447837,-23564.740890103272,298.04982572001967
655000,327.4999999957116,-33536.8619265859,9765.040940556306,-23771.820986029597,292.6124590454828
660000,329.9999999956525,-33574.678009605734,9502.986125591924,-24071.69188401381,286.6105889086267
665000,332.4999999955934,-33593.095001914306,9887.586883547316,-23705.50811836699,297.16540912460965
670000,334.99999999553427,-33937.48079460813,9369.888299291897,-24567.592495316232,281.1730362571916
675000,337.49999999547515,-33857.91960655083,9880.171890054062,-23977.747716496768,301.6378846199496
680000,339.99999999541603,-33866.58631199133,9849.45889324621,-24017.127418745116,297.13388070043396
685000,342.4999999953569,-33004.6477404288,9671.696944099749,-23332.950796329053,290.7401040069973
690000,344.9999999952978,-33407.38238155702,10004.555771816797,-23402.826609740223,308.738684124113
695000,347.4999999952387,-33257.86913407408,9518.009920725362,-23739.859213348715,290.54273527694437
700000,349.99999999517956,-33602.87333678035,9647.779116150377,-23955.094220629973,296.62669765894645
705000,352.49999999512045,-33262.428905724315,9850.105365764757,-23412.323539959558,294.93407406617894
710000,354.99999999506133,-33533.84922112827,10003.929855725091,-23529.91936540318,304.50352288198496
715000,357.4999999950022,-33529.94353976054,9872.409202418416,-23657.534337342127,296.9829886597697
720000,359.9999999949431,-33365.078981551575,9782.192828350815,-23582.886153200758,290.9436384065235
725000,362.499999994884,-32988.280112549895,9764.574798357433,-23223.705314192463,298.4334011670469
730000,364.99999999482486,-33218.64371861424,9869.542361978109,-23349.101356636136,298.38777066946324
735000,367.49999999476574,-33171.8727785903,10057.772837066424,-23114.099941523877,305.36212437578513
740000,369.9999999947066,-33162.22023486765,9713.38393740285,-23448.8362974648,295.3198214968928
745000,372.4999999946475,-33511.26264900295,9842.641244884295,-23668.621404118654,292.53781083942
750000,374.9999999945884,-33537.09331026231,9624.092383140765,-23913.000927121546,291.3251184055482
755000,377.4999999945293,-33053.31259453716,9749.768800299957,-23303.5437942372,293.935858253441
760000,379.99999999447016,-33137.67804199131,10054.797525334074,-23082.88051665724,309.8182111141915
765000,382.49999999441104,-33194.478289899416,9661.847600821353,-23532.63068907806,284.19095904390946
770000,384.9999999943519,-33388.64911897178,9833.66902074534,-23554.98009822644,296.7263612944931
775000,387.4999999942928,-33360.387891695835,9725.855628417768,-23634.532263278066,291.3858986884584
780000,389.9999999942337,-33138.12377517554,9641.678028547401,-23496.44574662814,291.7357171827386
785000,392.4999999941746,-33302.12373410957,9812.73426726451,-23489.38946684506,293.39583444958834
790000,394.99999999411546,-33309.21470593149,9790.511371642175,-23518.703334289312,295.9204077471416
