#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)"
505000,1009.9999999899404,-37462.86173905505,5669.385877180414,-31793.475861874635,256.3904459840044,26.202879373161306,1.0126649464702109
510000,1019.999999989704,-37420.24115535302,5768.473525942599,-31651.76762941042,260.871553286984,26.3142454795262,1.008379186035683
515000,1029.9999999894676,-37597.571609274455,5641.264974452069,-31956.306634822387,255.11871550945443,25.77649646321792,1.0294159827209972
520000,1039.9999999892311,-37667.964435498165,5691.174495273535,-31976.78994022463,257.3758072967271,25.908429904966763,1.0241738899315143
525000,1049.9999999889947,-37623.058146625015,5772.806609185544,-31850.25153743947,261.06751122126684,25.835308942822994,1.0270725810367787
530000,1059.9999999887582,-37649.936740307196,5834.674788955527,-31815.26195135167,263.8654174755036,26.06257506364517,1.0181164897555053
535000,1069.9999999885217,-37642.40884192426,5705.624677922459,-31936.7841640018,258.02929761369785,26.154466276145776,1.0145394349717176
540000,1079.9999999882853,-37621.56388816671,5705.524779499358,-31916.03910866735,258.02477984020226,26.113399989260593,1.0161349134429247
545000,1089.9999999880488,-37308.33411979976,5752.187426002448,-31556.14669379731,260.1350360490584,26.29225709811337,1.0092224999462602
550000,1099.9999999878123,-37349.67892241426,5681.726609912649,-31667.952312501613,256.94853923035095,26.146689108009618,1.0148412033422347
555000,1109.9999999875758,-37463.91385687932,5732.7069776696835,-31731.206879209636,259.25405864794175,26.136318578236015,1.0152438782975173
560000,1119.9999999873394,-37357.46000024723,5622.7724108953325,-31734.687589351895,254.28241388518447,26.469203497278738,1.0024758561592448
565000,1129.999999987103,-37503.17855158624,5724.19762819704,-31778.9809233892,258.86923462050936,25.96903822124035,1.0217836029092808
570000,1139.9999999868664,-37393.88903894892,5953.442408049202,-31440.446630899714,269.2365252969789,26.804539840864315,0.989934451228101
575000,1149.99999998663,-37449.19348847836,5674.490028671244,-31774.70345980712,256.6212744556332,26.560920955818546,0.9990142089547905
580000,1159.9999999863935,-37533.37253594746,5894.638497309315,-31638.734038638147,266.5771965395401,26.069819188127646,1.0178335816717847
585000,1169.999999986157,-37465.4467398633,5794.200516526291,-31671.24622333701,262.03502226448455,26.29275159452611,1.009203519167315
590000,1179.9999999859206,-37224.869629405795,5927.475000429338,-31297.394628976457,268.0621837783493,26.1092576921501,1.0162961257135092
595000,1189.999999985684,-37136.77887336447,5545.185473563363,-31591.593399801106,250.77364769850712,26.01907612675832,1.019818586506196
600000,1199.9999999854476,-37423.72677063328,5565.168415454791,-31858.558355178488,251.67734970338174,26.21688527989233,1.0121239481541018
605000,1209.9999999852112,-37154.825677402056,5683.605015931214,-31471.22066147084,257.03348764756447,26.43523230757122,1.0037641103001793
610000,1219.9999999849747,-37420.49848476585,5601.921296430609,-31818.57718833524,253.33944992882508,25.80673435895265,1.028209810226631
615000,1229.9999999847382,-37765.06760063134,5710.210244744701,-32054.857355886634,258.2366737824953,25.912334002303254,1.0240195821584117
620000,1239.9999999845018,-37640.937150871185,5806.686716142569,-31834.250434728616,262.59969405744687,26.07201804903832,1.0177477396601653
625000,1249.9999999842653,-37527.91991586201,5748.965326711336,-31778.954589150675,259.98932088834266,25.932995331092123,1.0232037255632482
630000,1259.9999999840288,-37413.56535020558,5719.005209900744,-31694.560140304835,258.6344143998429,26.045962307118245,1.0187658695388635
635000,1269.9999999837923,-37246.92621162785,5623.845415098019,-31623.08079652983,254.3309390750426,26.415059609455408,1.0045306666008633
640000,1279.9999999835559,-37308.06230226796,5768.3180010486185,-31539.74430121934,260.8645198802283,26.009734464115887,1.0201848648011465
645000,1289.9999999833194,-37562.79618120197,5694.399131853467,-31868.397049348503,257.5216372029596,26.095451782197163,1.016833801509055
650000,1299.999999983083,-37264.97982033812,5795.193829626601,-31469.78599071152,262.0799435300867,26.169827687745403,1.013943911071805
655000,1309.9999999828465,-37326.68150512956,5882.478795569014,-31444.202709560548,266.027290179351,26.290758616375225,1.009280022116235
660000,1319.99999998261,-37389.642080221056,5724.060457728567,-31665.58162249249,258.8630312682682,26.032076379745707,1.0193092956055234
665000,1329.9999999823735,-37240.48593026605,5872.034995201555,-31368.450935064495,265.5549831796178,26.19577219032728,1.0129396929015007
670000,1339.999999982137,-37383.00956205561,5534.836787688632,-31848.172774366976,250.3056421253726,26.14412642690391,1.0149406793903013
675000,1349.9999999819006,-37431.15596901351,5639.67481129491,-31791.4811577186,255.04680249279198,26.07894355361857,1.01747746733805
680000,1359.9999999816641,-37582.01272522253,5698.706882629515,-31883.305842593014,257.71644951007465,25.917781184711867,1.0238043622900808
685000,1369.9999999814277,-37229.79303798145,5646.101306746924,-31583.691731234525,255.33743221367376,26.338631699220674,1.0074455552895298
690000,1379.9999999811912,-37584.80951804257,5624.436663893094,-31960.37285414948,254.357677516479,26.131616791100605,1.0154265482273743
695000,1389.9999999809547,-37507.85732757305,5732.7482423381125,-31775.10908523494,259.25592478776207,26.220172628285752,1.0119970533360518
700000,1399.9999999807183,-37522.86947364886,5949.132050573226,-31573.737423075636,269.041595105322,26.23201785635694,1.0115400798782805
705000,1409.9999999804818,-37409.20500539102,5810.017791734368,-31599.187213656653,262.75033752661443,25.854206005255897,1.0263218848180269
710000,1419.9999999802453,-37553.03627145741,5664.318071547718,-31888.71819990969,256.16126120553355,26.158589771809325,1.0143795085767133
715000,1429.9999999800089,-37344.031360088295,5670.038866171099,-31673.992493917198,256.4199765437812,26.141515067476167,1.015042065056162
720000,1439.9999999797724,-37347.54249153993,5867.571796173323,-31479.970695366603,265.3531409317705,26.32479016936415,1.007975268447456
725000,1449.999999979536,-37369.02453516218,5809.794042818178,-31559.230492344,262.7402187790722,26.032813285952813,1.0192804421989154
730000,1459.9999999792994,-37860.96095056794,5806.571303465073,-32054.389647102867,262.594474672403,26.301699453480907,1.0088601873319647
735000,1469.999999979063,-37542.6000835364,5798.897335565845,-31743.702747970558,262.2474296670402,26.274453607499932,1.0099063460719715
740000,1479.9999999788265,-37682.314252081334,5817.892399198215,-31864.42185288312,263.1064561897894,26.102597496682257,1.016555438253241
745000,1489.99999997859,-37585.812613199225,5798.439883114829,-31787.372730084397,262.22674198755016,25.862318075141417,1.0259999649177887
750000,1499.9999999783536,-37298.50538041459,5561.808845046146,-31736.69653536844,251.52541759397036,26.274938947856917,1.0098876914784252
755000,1509.999999978117,-37536.98174645207,5827.995101606057,-31708.98664484601,263.5633374873592,26.321950820577793,1.0080839987378
760000,1519.9999999778806,-37546.26197067723,5808.851857408325,-31737.410113268907,262.697609695361,26.269918525731683,1.0100806902692412
765000,1529.9999999776442,-37921.531305057644,5679.912267692462,-32241.619037365184,256.8664880133269,26.00807710574985,1.0202498758326695
770000,1539.9999999774077,-37596.7516633783,5838.634973672412,-31758.11668970589,264.04451156924455,26.109972893461055,1.0162682874493947
775000,1549.9999999771712,-37137.457286963625,5611.235493559725,-31526.2217934039,253.7606721224897,25.917039090567673,1.023833677337197
780000,1559.9999999769348,-37325.464659615645,5850.4157030344,-31475.048956581246,264.5772794069912,26.150001586270957,1.0147126511731768
785000,1569.9999999766983,-37732.547914046656,5818.2743870546,-31914.273526992056,263.1237310832225,25.868779594232777,1.025743690038763
790000,1579.9999999764618,-37279.47132549075,5871.31145885666,-31408.159866634087,265.5222622094506,25.96829335867934,1.0218129112793284
795000,1589.9999999762254,-37844.647963789495,5787.266342520579,-32057.381621268916,261.72143345533135,25.880440222118423,1.025281533469055
800000,1599.9999999759889,-37332.43354891282,5702.689070235752,-31629.74447867707,257.89653865526134,26.534736967133696,1.0000000177372812
805000,1609.9999999757524,-37591.43672331852,5771.821587011933,-31819.615136306587,261.02296490181226,25.71471932973279,1.0318890553515332
810000,1619.999999975516,-37667.005663947064,5696.750492160037,-31970.255171787026,257.6279743496508,26.10516872594629,1.0164553125992455
815000,1629.9999999752795,-37263.30212806247,5732.636618365159,-31530.665509697308,259.25087674184874,26.097118743332395,1.0167688509509196
