#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)"
505000,1009.9999999899404,-44792.99374479195,5573.361023912034,-39219.63272087992,252.33248855608485
510000,1019.999999989704,-44388.04103539203,5923.212744637815,-38464.828290754216,268.1719353347183
515000,1029.9999999894676,-44394.72246133373,5807.097307207472,-38587.62515412626,262.91483873522134
520000,1039.9999999892311,-44444.94632684084,5710.409412562004,-38734.53691427884,258.5373191443561
525000,1049.9999999889947,-44508.60849391349,5932.117930918532,-38576.49056299496,268.5751153558272
530000,1059.9999999887582,-44475.46228534519,5710.956203023921,-38764.50608232127,258.56207494204847
535000,1069.9999999885217,-44480.019565485185,5813.795629810105,-38666.22393567508,263.2181035702504
540000,1079.9999999882853,-44465.593803013675,5592.3724304791685,-38873.22137253451,253.19322510436416
545000,1089.9999999880488,-44406.11198474612,5714.933199943406,-38691.178784802716,258.742132455884
550000,1099.9999999878123,-44648.98008185072,5854.161801752748,-38794.81828009797,265.0456716348471
555000,1109.9999999875758,-44891.20597061806,5731.649285630906,-39159.556684987154,259.4989489410079
560000,1119.9999999873394,-44590.084270415595,5797.042248480486,-38793.04202193511,262.4595985345108
565000,1129.999999987103,-44684.100062462676,5699.337377408637,-38984.76268505404,258.03603559720335
570000,1139.9999999868664,-44297.06429324491,5692.219138912092,-38604.84515433282,257.7137591779543
575000,1149.99999998663,-44650.75704638974,5692.425515445597,-38958.331530944146,257.7231028224904
580000,1159.9999999863935,-44562.7922518088,5850.38377367639,-38712.40847813241,264.87462238426883
585000,1169.999999986157,-44491.875746416335,5836.91733195833,-38654.95841445801,264.2649326950248
590000,1179.9999999859206,-44610.12886472355,5675.7241923374495,-38934.404672386096,256.9669547093542
595000,1189.999999985684,-44619.186455748975,5761.979648257669,-38857.206807491304,260.87214831703676
600000,1199.9999999854476,-44537.602309702954,5733.101563703365,-38804.50074599959,259.5647004576469
605000,1209.9999999852112,-44441.721021702455,5845.43578611867,-38596.28523558378,264.6506035187356
610000,1219.9999999849747,-44362.22118077328,5855.533686275975,-38506.68749449731,265.1077833541978
615000,1229.9999999847382,-44433.370627875905,5738.983291068573,-38694.38733680733,259.83099415308556
620000,1239.9999999845018,-44872.43268382648,5686.633791866163,-39185.79889196032,257.4608840253306
625000,1249.9999999842653,-44597.99845958542,5674.593858329139,-38923.404601256276,256.9157791275117
630000,1259.9999999840288,-44749.03839003621,5866.035025061735,-38883.00336497447,265.5832287699196
635000,1269.9999999837923,-44207.656703872955,5831.097853122079,-38376.55885075088,264.001457285743
640000,1279.9999999835559,-44600.1178029594,5770.095707829019,-38830.02209513038,261.2396008291065
645000,1289.9999999833194,-44524.363463753194,5825.284505405897,-38699.078958347294,263.73825946134724
650000,1299.999999983083,-44372.56865514227,6012.367870513819,-38360.200784628454,272.20841075472117
655000,1309.9999999828465,-44565.82992969279,5765.973296537528,-38799.85663315526,261.0529597169355
660000,1319.99999998261,-44411.420075932576,5595.416894890813,-38816.003181041764,253.33106244847565
665000,1329.9999999823735,-44469.37084058067,5726.731271541299,-38742.63956903937,259.27628711654324
670000,1339.999999982137,-44617.944191701186,5804.879274062743,-38813.06491763845,262.8144178544085
675000,1349.9999999819006,-44477.88097400038,5625.290752710101,-38852.59022129028,254.68359368662257
680000,1359.9999999816641,-44345.262684247864,5718.134771877625,-38627.12791237024,258.88708280271896
685000,1369.9999999814277,-44428.95960998908,5676.254983141763,-38752.70462684731,256.99098612665875
690000,1379.9999999811912,-44511.56828741473,5607.0097102203,-38904.55857719443,253.85592418431335
