#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)"
505000,1009.9999999899404,-36297.00488888123,6713.305359784831,-29583.6995290964,301.2218040448711
510000,1019.999999989704,-36444.53374373846,6356.529890341231,-30088.003853397226,285.21351233382615
515000,1029.9999999894676,-36668.30743642745,6518.46807635235,-30149.8393600751,292.47957724817206
520000,1039.9999999892311,-36523.86631764162,6609.195950609348,-29914.670367032275,296.5504801039488
525000,1049.9999999889947,-36726.52886941843,6448.507874959747,-30278.020994458682,289.34050685803896
530000,1059.9999999887582,-36366.769863917805,6409.697517899609,-29957.072346018198,287.5991104604744
535000,1069.9999999885217,-36171.6729375476,6665.932705527905,-29505.740232019692,299.0962227383591
540000,1079.9999999882853,-36172.705537012305,6566.318088223739,-29606.387448788566,294.6265772916694
545000,1089.9999999880488,-36130.40733652535,6724.63291926304,-29405.77441726231,301.7300645393052
550000,1099.9999999878123,-36581.76961047528,6666.044279659105,-29915.725330816178,299.1012289996989
555000,1109.9999999875758,-36824.05619862994,6575.206828306815,-30248.84937032313,295.02540948833195
560000,1119.9999999873394,-36194.45350955175,6288.098175373199,-29906.355334178552,282.143024171611
565000,1129.999999987103,-35995.0414156688,6627.14679969236,-29367.89461597644,297.35592345191765
570000,1139.9999999868664,-36272.52585850979,6551.434828332097,-29721.091030177693,293.95877474815853
575000,1149.99999998663,-36493.03892207911,6570.056536688651,-29922.98238539046,294.79431913128167
580000,1159.9999999863935,-36807.66775841899,6521.88987942229,-30285.777878996698,292.633111407364
585000,1169.999999986157,-36759.75175957053,6490.130275558615,-30269.621484011914,291.20807788678644
590000,1179.9999999859206,-36432.30235682105,6567.367913377775,-29864.93444344327,294.673682288371
595000,1189.999999985684,-36576.06587398874,6616.3853764368905,-29959.680497551846,296.87306513498163
600000,1199.9999999854476,-36604.59685794124,6462.400542073832,-30142.196315867404,289.9638621244578
605000,1209.9999999852112,-36420.45292744182,6914.541794896235,-29505.91113254558,310.25115676684504
610000,1219.9999999849747,-35816.40090416287,6548.55435870964,-29267.846545453227,293.82952988148367
615000,1229.9999999847382,-36105.376165450696,6463.984245818419,-29641.391919632275,290.0349219189183
620000,1239.9999999845018,-36503.35346038719,6576.697706778158,-29926.65575360903,295.09230427095866
625000,1249.9999999842653,-36355.720436393625,6654.153551473641,-29701.566884919986,298.56769947832646
630000,1259.9999999840288,-36007.90753953625,6542.902746070184,-29465.00479346607,293.5759455644023
635000,1269.9999999837923,-36506.13467381197,6734.454960033228,-29771.67971377874,302.1707733528685
640000,1279.9999999835559,-36405.617946291946,6479.227310274133,-29926.390636017815,290.71886866771774
645000,1289.9999999833194,-36442.62614057226,6579.032233707963,-29863.5939068643,295.19705303117445
650000,1299.999999983083,-35943.19329801353,6420.754665481587,-29522.438632531943,288.09523774260066
655000,1309.9999999828465,-36113.71443222761,6565.139491611296,-29548.574940616312,294.57369440033415
660000,1319.99999998261,-36471.88408254066,6384.295044774477,-30087.58903776618,286.4593174119129
665000,1329.9999999823735,-36284.29739298102,6701.596757327807,-29582.70063565321,300.69644639078956
670000,1339.999999982137,-36471.64815940449,6584.796340692012,-29886.85181871248,295.45568489899375
675000,1349.9999999819006,-36318.12726209055,6570.461982544782,-29747.66527954577,294.81251123274
680000,1359.9999999816641,-35976.552854171845,6711.180174403773,-29265.372679768072,301.1264483087464
685000,1369.9999999814277,-36217.07457538365,6653.5937380573,-29563.48083732635,298.5425810011887
690000,1379.9999999811912,-36472.77569245238,6586.777469153443,-29885.998223298935,295.54457689142004
695000,1389.9999999809547,-36216.17264538473,6547.694883745021,-29668.477761639708,293.79096577848236
700000,1399.9999999807183,-36742.805942414365,6691.658944381227,-30051.14699803314,300.2505429522299
705000,1409.9999999804818,-36111.96743718294,6756.592991711357,-29355.37444547158,303.16409295963547
710000,1419.9999999802453,-36485.78664973531,6658.13775919541,-29827.648890539902,298.7464683817686
715000,1429.9999999800089,-36676.52880230425,6487.752641489193,-30188.77616081506,291.1013949362328
720000,1439.9999999797724,-36012.30726488039,6664.693643320998,-29347.613621559394,299.0406267936961
725000,1449.999999979536,-36265.39587962062,6472.775477840128,-29792.620401780492,290.42937898997894
730000,1459.9999999792994,-36279.87113195987,6482.114887481193,-29797.75624447868,290.84843244725914
735000,1469.999999979063,-36719.00526768762,6401.862870612645,-30317.14239707498,287.24757474693877
740000,1479.9999999788265,-36471.5593144404,6511.106186555073,-29960.453127885325,292.14925386690607
745000,1489.99999997859,-36464.86771325578,6525.407436073238,-29939.46027718254,292.790941969724
