frame,file,lambda_A,w4_A,q,na,label,prob
0,000_366_trajB.trr,1.0796762257814407,8.397209644317627,0.7755992558357824,0,nonreactive,0.13
1,000_366_trajB.trr,1.0892075300216675,7.827729731798172,0.875026490151426,0,nonreactive,0.13
0,000_367_trajF.trr,1.0796762257814407,8.397209644317627,0.7755992558357824,0,nonreactive,0.13
1,000_367_trajF.trr,1.0883773863315582,8.064900934696198,0.647740806495354,0,nonreactive,0.13
0,000_463_trajB.trr,1.0830046236515045,8.224676549434662,0.7181479704986818,1,nonreactive,0.13
1,000_463_trajB.trr,1.092226654291153,7.862849533557892,0.389276992742171,1,nonreactive,0.13
0,000_743_trajB.trr,1.0821273177862167,8.092201948165894,0.8591697792365219,2,nonreactive,0.13
1,000_743_trajB.trr,1.0854440927505493,7.824229001998901,0.4461947127483161,0,nonreactive,0.13
0,000_744_trajF.trr,1.0821273177862167,8.092201948165894,0.8591697792365219,2,nonreactive,0.13
1,000_744_trajF.trr,1.0893922299146652,8.14608246088028,0.44355225640206,0,nonreactive,0.13
0,000_946_trajB.trr,1.0835597664117813,8.102134466171265,-0.08000897481036673,0,nonreactive,0.13
1,000_946_trajB.trr,1.0887442529201508,8.358031809329987,0.49877490909962685,0,nonreactive,0.13
0,000_947_trajF.trr,1.0835597664117813,8.102134466171265,-0.08000897481036673,0,nonreactive,0.13
1,000_947_trajF.trr,1.0925482958555222,8.174891173839569,0.805807743638159,0,nonreactive,0.13
0,000_1167_trajB.trr,1.0817575454711914,8.085283041000366,0.48512140105473667,1,nonreactive,0.13
1,000_1167_trajB.trr,1.0917838662862778,8.21489691734314,0.8409872856754816,2,nonreactive,0.13
0,000_1168_trajF.trr,1.0817575454711914,8.085283041000366,0.48512140105473667,1,nonreactive,0.13
1,000_1168_trajF.trr,1.0936593264341354,8.131210803985596,0.6189669485107601,0,nonreactive,0.13
0,000_1327_trajB.trr,1.0820812731981277,8.214165270328522,0.8386797199418925,0,nonreactive,0.13
1,000_1327_trajB.trr,1.0889366269111633,7.943633794784546,0.6745503376600177,0,nonreactive,0.13
0,000_1328_trajF.trr,1.0820812731981277,8.214165270328522,0.8386797199418925,0,nonreactive,0.13
1,000_1328_trajF.trr,1.090344861149788,7.930063307285309,0.6527752121437731,0,nonreactive,0.13
0,000_1448_trajB.trr,1.0842976719141006,7.893992364406586,0.6384126842309373,0,nonreactive,0.13
1,000_1448_trajB.trr,1.096511110663414,8.028327524662018,0.7020720885895138,1,nonreactive,0.13
0,000_1449_trajF.trr,1.0842976719141006,7.893992364406586,0.6384126842309373,0,nonreactive,0.13
1,000_1449_trajF.trr,1.093016192317009,7.86669135093689,0.3396494833634842,2,nonreactive,0.13
