# Cycle: 0, status: ACC, move: ('re', 0, 0, 0)
#     Time      Potential        Kinetic
         0            nan            nan
         1            nan            nan
         2            nan            nan
         3            nan            nan
         4            nan            nan
         5            nan            nan
# Cycle: 1, status: KOB, move: ('sh', 0.10422091920531118, 2, 0)
#     Time      Potential        Kinetic
         0  -48117.906250   11407.380859
# Cycle: 2, status: BTS, move: ('s+', 0, 0, 0)
#     Time      Potential        Kinetic
         0  -43619.351562   10060.242188
         1  -44074.429688   10032.158203
# Cycle: 3, status: BTS, move: ('s+', 0, 0, 0)
#     Time      Potential        Kinetic
         0  -43619.351562   10060.242188
         1  -44074.429688   10032.158203
# Cycle: 4, status: ACC, move: ('00', 0, 0, 0)
#     Time      Potential        Kinetic
         0            nan            nan
         1            nan            nan
         2            nan            nan
         3            nan            nan
         4            nan            nan
         5            nan            nan
# Cycle: 5, status: BTS, move: ('s+', 0, 0, 0)
#     Time      Potential        Kinetic
         0  -43131.015625   10318.611328
         1  -41677.492188   13027.678711
# Cycle: 6, status: KOB, move: ('sh', 0.10589145385724005, 1, 0)
#     Time      Potential        Kinetic
         0  -37444.417969   12396.637695
# Cycle: 7, status: KOB, move: ('sh', 0.10439348638684298, 4, 0)
#     Time      Potential        Kinetic
         0  -53444.769531   11394.378906
# Cycle: 8, status: KOB, move: ('sh', 0.10439348638684298, 4, 0)
#     Time      Potential        Kinetic
         0  -53444.769531   11382.708008
# Cycle: 9, status: BTS, move: ('s+', 0, 0, 0)
#     Time      Potential        Kinetic
         0  -43686.679688    9870.701172
         1  -41677.492188   12934.054688
# Cycle: 10, status: BTS, move: ('s+', 0, 0, 0)
#     Time      Potential        Kinetic
         0  -43686.679688    9870.701172
         1  -41677.492188   12934.054688
# Cycle: 11, status: ACC, move: ('00', 0, 0, 0)
#     Time      Potential        Kinetic
         0            nan            nan
         1            nan            nan
         2            nan            nan
         3            nan            nan
         4            nan            nan
         5            nan            nan
# Cycle: 12, status: ACC, move: ('00', 0, 0, 0)
#     Time      Potential        Kinetic
         0            nan            nan
         1            nan            nan
         2            nan            nan
         3            nan            nan
         4            nan            nan
         5            nan            nan
# Cycle: 13, status: BWI, move: ('tr', 0, 0, 0)
#     Time      Potential        Kinetic
         0            nan            nan
         1            nan            nan
         2            nan            nan
         3            nan            nan
         4            nan            nan
         5            nan            nan
# Cycle: 14, status: ACC, move: ('00', 0, 0, 0)
#     Time      Potential        Kinetic
         0            nan            nan
         1            nan            nan
         2            nan            nan
         3            nan            nan
         4            nan            nan
         5            nan            nan
# Cycle: 15, status: KOB, move: ('sh', 0.10439348638684298, 4, 0)
#     Time      Potential        Kinetic
         0  -53444.769531   11376.777344
# Cycle: 16, status: BTS, move: ('s+', 0, 0, 0)
#     Time      Potential        Kinetic
         0  -44039.714844   10116.296875
         1  -43653.101562   12822.729492
# Cycle: 17, status: BWI, move: ('tr', 0, 0, 0)
#     Time      Potential        Kinetic
         0            nan            nan
         1            nan            nan
         2            nan            nan
         3            nan            nan
         4            nan            nan
         5            nan            nan
# Cycle: 18, status: KOB, move: ('sh', 0.10439348638684298, 4, 0)
#     Time      Potential        Kinetic
         0  -53444.769531   11379.360352
# Cycle: 19, status: BTS, move: ('s+', 0, 0, 0)
#     Time      Potential        Kinetic
         0  -44223.601562    9900.569336
         1  -43653.101562   12859.871094
# Cycle: 20, status: BTS, move: ('s+', 0, 0, 0)
#     Time      Potential        Kinetic
         0  -44223.601562    9900.569336
         1  -43653.101562   12859.871094
# Cycle: 21, status: KOB, move: ('sh', 0.10422091920531118, 2, 0)
#     Time      Potential        Kinetic
         0  -48117.906250   11411.191406
# Cycle: 22, status: ACC, move: ('00', 0, 0, 0)
#     Time      Potential        Kinetic
         0            nan            nan
         1            nan            nan
         2            nan            nan
         3            nan            nan
         4            nan            nan
         5            nan            nan
# Cycle: 23, status: ACC, move: ('00', 0, 0, 0)
#     Time      Potential        Kinetic
         0            nan            nan
         1            nan            nan
         2            nan            nan
         3            nan            nan
         4            nan            nan
         5            nan            nan
# Cycle: 24, status: ACC, move: ('00', 0, 0, 0)
#     Time      Potential        Kinetic
         0            nan            nan
         1            nan            nan
         2            nan            nan
         3            nan            nan
         4            nan            nan
         5            nan            nan
# Cycle: 25, status: BWI, move: ('tr', 0, 0, 0)
#     Time      Potential        Kinetic
