# Cycle: 0, status: ACC, move: ('re', 0, 0, 0)
#     Time       Orderp
         0     0.109814
         1     0.105710
         2     0.103823
         3     0.103605
         4     0.103725
         5     0.106311
# Cycle: 1, status: KOB, move: ('sh', 0.10422091920531118, 2, 0)
#     Time       Orderp
         0     0.104221
# Cycle: 2, status: BTS, move: ('s+', 0, 0, 0)
#     Time       Orderp
         0     0.108363
         1     0.108692
# Cycle: 3, status: BTS, move: ('s+', 0, 0, 0)
#     Time       Orderp
         0     0.108363
         1     0.108692
# Cycle: 4, status: ACC, move: ('00', 0, 0, 0)
#     Time       Orderp
         0     0.109814
         1     0.105710
         2     0.103823
         3     0.103605
         4     0.103725
         5     0.106311
# Cycle: 5, status: BTS, move: ('s+', 0, 0, 0)
#     Time       Orderp
         0     0.108084
         1     0.109814
# Cycle: 6, status: KOB, move: ('sh', 0.10589145385724005, 1, 0)
#     Time       Orderp
         0     0.105891
# Cycle: 7, status: KOB, move: ('sh', 0.10439348638684298, 4, 0)
#     Time       Orderp
         0     0.104393
# Cycle: 8, status: KOB, move: ('sh', 0.10439348638684298, 4, 0)
#     Time       Orderp
         0     0.104393
# Cycle: 9, status: BTS, move: ('s+', 0, 0, 0)
#     Time       Orderp
         0     0.108422
         1     0.109814
# Cycle: 10, status: BTS, move: ('s+', 0, 0, 0)
#     Time       Orderp
         0     0.108422
         1     0.109814
# Cycle: 11, status: ACC, move: ('00', 0, 0, 0)
#     Time       Orderp
         0     0.109814
         1     0.105710
         2     0.103823
         3     0.103605
         4     0.103725
         5     0.106311
# Cycle: 12, status: ACC, move: ('00', 0, 0, 0)
#     Time       Orderp
         0     0.109814
         1     0.105710
         2     0.103823
         3     0.103605
         4     0.103725
         5     0.106311
# Cycle: 13, status: BWI, move: ('tr', 0, 0, 0)
#     Time       Orderp
         0     0.106311
         1     0.103725
         2     0.103605
         3     0.103823
         4     0.105710
         5     0.109814
# Cycle: 14, status: ACC, move: ('00', 0, 0, 0)
#     Time       Orderp
         0     0.109814
         1     0.105710
         2     0.103823
         3     0.103605
         4     0.103725
         5     0.106311
# Cycle: 15, status: KOB, move: ('sh', 0.10439348638684298, 4, 0)
#     Time       Orderp
         0     0.104393
# Cycle: 16, status: BTS, move: ('s+', 0, 0, 0)
#     Time       Orderp
         0     0.108480
         1     0.110765
# Cycle: 17, status: BWI, move: ('tr', 0, 0, 0)
#     Time       Orderp
         0     0.106311
         1     0.103725
         2     0.103605
         3     0.103823
         4     0.105710
         5     0.109814
# Cycle: 18, status: KOB, move: ('sh', 0.10439348638684298, 4, 0)
#     Time       Orderp
         0     0.104393
# Cycle: 19, status: BTS, move: ('s+', 0, 0, 0)
#     Time       Orderp
         0     0.108106
         1     0.110765
# Cycle: 20, status: BTS, move: ('s+', 0, 0, 0)
#     Time       Orderp
         0     0.108106
         1     0.110765
# Cycle: 21, status: KOB, move: ('sh', 0.10422091920531118, 2, 0)
#     Time       Orderp
         0     0.104221
# Cycle: 22, status: ACC, move: ('00', 0, 0, 0)
#     Time       Orderp
         0     0.109814
         1     0.105710
         2     0.103823
         3     0.103605
         4     0.103725
         5     0.106311
# Cycle: 23, status: ACC, move: ('00', 0, 0, 0)
#     Time       Orderp
         0     0.109814
         1     0.105710
         2     0.103823
         3     0.103605
         4     0.103725
         5     0.106311
# Cycle: 24, status: ACC, move: ('00', 0, 0, 0)
#     Time       Orderp
         0     0.109814
         1     0.105710
         2     0.103823
         3     0.103605
         4     0.103725
         5     0.106311
# Cycle: 25, status: BWI, move: ('tr', 0, 0, 0)
#     Time       Orderp
         0     0.106311
         1     0.103725
         2     0.103605
         3     0.103823
         4     0.105710
         5     0.109814
# Cycle: 26, status: KOB, move: ('sh', 0.10589145385724005, 1, 0)
#     Time       Orderp
         0     0.105891
# Cycle: 27, status: KOB, move: ('sh', 0.10406248123122984, 3, 0)
#     Time       Orderp
         0     0.104062
# Cycle: 28, status: KOB, move: ('sh', 0.10422091920531118, 2, 0)
#     Time       Orderp
         0     0.104221
# Cycle: 29, status: ACC, move: ('00', 0, 0, 0)
#     Time       Orderp
         0     0.109814
         1     0.105710
         2     0.103823
         3     0.103605
         4     0.103725
         5     0.106311
# Cycle: 30, status: BTS, move: ('s+', 0, 0, 0)
#     Time       Orderp
         0     0.107986
         1     0.108922
# Cycle: 31, status: KOB, move: ('sh', 0.10589145385724005, 1, 0)
#     Time       Orderp
         0     0.105891
# Cycle: 32, status: BWI, move: ('tr', 0, 0, 0)
#     Time       Orderp
         0     0.106311
         1     0.103725
         2     0.103605
         3     0.103823
         4     0.105710
         5     0.109814
# Cycle: 33, status: BWI, move: ('tr', 0, 0, 0)
#     Time       Orderp
         0     0.106311
         1     0.103725
         2     0.103605
         3     0.103823
         4     0.105710
         5     0.109814
# Cycle: 34, status: BTS, move: ('s+', 0, 0, 0)
#     Time       Orderp
         0     0.107986
         1     0.108922
# Cycle: 35, status: BWI, move: ('tr', 0, 0, 0)
#     Time       Orderp
         0     0.106311
         1     0.103725
         2     0.103605
         3     0.103823
         4     0.105710
         5     0.109814
# Cycle: 36, status: ACC, move: ('00', 0, 0, 0)
#     Time       Orderp
         0     0.109814
         1     0.105710
         2     0.103823
         3     0.103605
         4     0.103725
         5     0.106311
# Cycle: 37, status: KOB, move: ('sh', 0.10439348638684298, 4, 0)
#     Time       Orderp
         0     0.104393
# Cycle: 38, status: KOB, move: ('sh', 0.10422091920531118, 2, 0)
#     Time       Orderp
         0     0.104221
# Cycle: 39, status: KOB, move: ('sh', 0.10589145385724005, 1, 0)
#     Time       Orderp
         0     0.105891
# Cycle: 40, status: KOB, move: ('sh', 0.10439348638684298, 4, 0)
#     Time       Orderp
         0     0.104393
# Cycle: 41, status: KOB, move: ('sh', 0.10589145385724005, 1, 0)
#     Time       Orderp
         0     0.105891
# Cycle: 42, status: BWI, move: ('tr', 0, 0, 0)
#     Time       Orderp
         0     0.106311
         1     0.103725
         2     0.103605
         3     0.103823
         4     0.105710
         5     0.109814
# Cycle: 43, status: BTS, move: ('s+', 0, 0, 0)
#     Time       Orderp
         0     0.108364
         1     0.110152
# Cycle: 44, status: BTS, move: ('s+', 0, 0, 0)
#     Time       Orderp
         0     0.108364
         1     0.110152
# Cycle: 45, status: KOB, move: ('sh', 0.10406248123122984, 3, 0)
#     Time       Orderp
         0     0.104062
# Cycle: 46, status: BWI, move: ('tr', 0, 0, 0)
#     Time       Orderp
         0     0.106311
         1     0.103725
         2     0.103605
         3     0.103823
         4     0.105710
         5     0.109814
# Cycle: 47, status: ACC, move: ('00', 0, 0, 0)
#     Time       Orderp
         0     0.109814
         1     0.105710
         2     0.103823
         3     0.103605
         4     0.103725
         5     0.106311
# Cycle: 48, status: ACC, move: ('00', 0, 0, 0)
#     Time       Orderp
         0     0.109814
         1     0.105710
         2     0.103823
         3     0.103605
         4     0.103725
         5     0.106311
# Cycle: 49, status: ACC, move: ('00', 0, 0, 0)
#     Time       Orderp
         0     0.109814
         1     0.105710
         2     0.103823
         3     0.103605
         4     0.103725
         5     0.106311
# Cycle: 50, status: KOB, move: ('sh', 0.10422091920531118, 2, 0)
#     Time       Orderp
         0     0.104221
# Cycle: 51, status: BTS, move: ('s+', 0, 0, 0)
#     Time       Orderp
         0     0.108071
         1     0.110765
# Cycle: 52, status: ACC, move: ('00', 0, 0, 0)
#     Time       Orderp
         0     0.109814
         1     0.105710
         2     0.103823
         3     0.103605
         4     0.103725
         5     0.106311
# Cycle: 53, status: BWI, move: ('tr', 0, 0, 0)
#     Time       Orderp
         0     0.106311
         1     0.103725
         2     0.103605
         3     0.103823
         4     0.105710
         5     0.109814
# Cycle: 54, status: KOB, move: ('sh', 0.10406248123122984, 3, 0)
#     Time       Orderp
         0     0.104062
# Cycle: 55, status: ACC, move: ('00', 0, 0, 0)
#     Time       Orderp
         0     0.109814
         1     0.105710
         2     0.103823
         3     0.103605
         4     0.103725
         5     0.106311
# Cycle: 56, status: KOB, move: ('sh', 0.10406248123122984, 3, 0)
#     Time       Orderp
         0     0.104062
# Cycle: 57, status: BWI, move: ('tr', 0, 0, 0)
#     Time       Orderp
         0     0.106311
         1     0.103725
         2     0.103605
         3     0.103823
         4     0.105710
         5     0.109814
# Cycle: 58, status: BWI, move: ('tr', 0, 0, 0)
#     Time       Orderp
         0     0.106311
         1     0.103725
         2     0.103605
         3     0.103823
         4     0.105710
         5     0.109814
# Cycle: 59, status: ACC, move: ('00', 0, 0, 0)
#     Time       Orderp
         0     0.109814
         1     0.105710
         2     0.103823
         3     0.103605
         4     0.103725
         5     0.106311
# Cycle: 60, status: KOB, move: ('sh', 0.10422091920531118, 2, 0)
#     Time       Orderp
         0     0.104221
# Cycle: 61, status: ACC, move: ('00', 0, 0, 0)
#     Time       Orderp
         0     0.109814
         1     0.105710
         2     0.103823
         3     0.103605
         4     0.103725
         5     0.106311
# Cycle: 62, status: BWI, move: ('tr', 0, 0, 0)
#     Time       Orderp
         0     0.106311
         1     0.103725
         2     0.103605
         3     0.103823
         4     0.105710
         5     0.109814
# Cycle: 63, status: BTS, move: ('s+', 0, 0, 0)
#     Time       Orderp
         0     0.108248
         1     0.109225
# Cycle: 64, status: BTS, move: ('s+', 0, 0, 0)
#     Time       Orderp
         0     0.108248
         1     0.109225
# Cycle: 65, status: BTS, move: ('s+', 0, 0, 0)
#     Time       Orderp
         0     0.108248
         1     0.109225
# Cycle: 66, status: KOB, move: ('sh', 0.10439348638684298, 4, 0)
#     Time       Orderp
         0     0.104393
# Cycle: 67, status: ACC, move: ('00', 0, 0, 0)
#     Time       Orderp
         0     0.109814
         1     0.105710
         2     0.103823
         3     0.103605
         4     0.103725
         5     0.106311
# Cycle: 68, status: BWI, move: ('tr', 0, 0, 0)
#     Time       Orderp
         0     0.106311
         1     0.103725
         2     0.103605
         3     0.103823
         4     0.105710
         5     0.109814
# Cycle: 69, status: KOB, move: ('sh', 0.10406248123122984, 3, 0)
#     Time       Orderp
         0     0.104062
# Cycle: 70, status: KOB, move: ('sh', 0.10439348638684298, 4, 0)
#     Time       Orderp
         0     0.104393
# Cycle: 71, status: KOB, move: ('sh', 0.10439348638684298, 4, 0)
#     Time       Orderp
         0     0.104393
# Cycle: 72, status: KOB, move: ('sh', 0.10589145385724005, 1, 0)
#     Time       Orderp
         0     0.105891
# Cycle: 73, status: BTS, move: ('s+', 0, 0, 0)
#     Time       Orderp
         0     0.108159
         1     0.109085
# Cycle: 74, status: BTS, move: ('s+', 0, 0, 0)
#     Time       Orderp
         0     0.108159
         1     0.109085
# Cycle: 75, status: BTS, move: ('s+', 0, 0, 0)
#     Time       Orderp
         0     0.108159
         1     0.109085
# Cycle: 76, status: KOB, move: ('sh', 0.10589145385724005, 1, 0)
#     Time       Orderp
         0     0.105891
# Cycle: 77, status: ACC, move: ('00', 0, 0, 0)
#     Time       Orderp
         0     0.109814
         1     0.105710
         2     0.103823
         3     0.103605
         4     0.103725
         5     0.106311
# Cycle: 78, status: BTS, move: ('s+', 0, 0, 0)
#     Time       Orderp
         0     0.108092
         1     0.109362
# Cycle: 79, status: BTS, move: ('s+', 0, 0, 0)
#     Time       Orderp
         0     0.108092
         1     0.109362
