# Cycle: 0, status: ACC, move: ('ld', 0, 0, 0)
#     Time       Orderp
         0     0.106311
         1     0.109814
         2     0.109814
         3     0.109814
         4     0.106311
# Cycle: 1, status: ACC, move: ('sh', 0.10981347822558005, 1, 2)
#     Time       Orderp
         0     0.108363
         1     0.108692
         2     0.109814
         3     0.108554
         4     0.108381
# Cycle: 2, status: BTS, move: ('s-', 0, 0, 0)
#     Time       Orderp
         0     0.106311
# Cycle: 3, status: BTS, move: ('s-', 0, 0, 0)
#     Time       Orderp
         0     0.106311
# Cycle: 4, status: ACC, move: ('s+', 0.10981347822558005, 2, 1)
#     Time       Orderp
         0     0.108084
         1     0.109814
         2     0.108281
# Cycle: 5, status: BTS, move: ('s-', 0, 0, 0)
#     Time       Orderp
         0     0.106311
# Cycle: 6, status: ACC, move: ('sh', 0.10981347822558005, 1, 1)
#     Time       Orderp
         0     0.107721
         1     0.109814
         2     0.108288
# Cycle: 7, status: BTL, move: ('sh', 0.10981347822558005, 1, 0)
#     Time       Orderp
         0     0.109814
         1     0.108005
# Cycle: 8, status: ACC, move: ('sh', 0.10981347822558005, 1, 1)
#     Time       Orderp
         0     0.108422
         1     0.109814
         2     0.108866
         3     0.108195
# Cycle: 9, status: BTS, move: ('s-', 0, 0, 0)
#     Time       Orderp
         0     0.106311
# Cycle: 10, status: BTS, move: ('s-', 0, 0, 0)
#     Time       Orderp
         0     0.106311
# Cycle: 11, status: ACC, move: ('s+', 0.11076551810017414, 1, 1)
#     Time       Orderp
         0     0.107410
         1     0.110765
         2     0.108480
# Cycle: 12, status: ACC, move: ('s+', 0.10981347822558005, 1, 1)
#     Time       Orderp
         0     0.108422
         1     0.109814
         2     0.108866
         3     0.108195
# Cycle: 13, status: ACC, move: ('tr', 0, 0, 0)
#     Time       Orderp
         0     0.108195
         1     0.108866
         2     0.109814
         3     0.108422
# Cycle: 14, status: ACC, move: ('s+', 0, 0, 0)
#     Time       Orderp
         0     0.108480
         1     0.110765
         2     0.107410
# Cycle: 15, status: BTL, move: ('sh', 0.11076551810017414, 1, 0)
#     Time       Orderp
         0     0.110765
         1     0.109729
