# Cycle: 1800, status: NCR, move: ('s+', 0.10942120452636202, 1, 7)
#     Time      Potential        Kinetic
         0  -44455.820312   10211.414062
         1  -44093.253906    9926.919922
         2  -43926.144531   10141.197266
         3  -44218.351562   10176.144531
         4  -44111.316406   10280.623047
         5  -43914.523438   10122.843750
         6  -43901.250000   10042.947266
         7  -44095.222656   12966.203125
         8  -44467.824219   10012.706055
         9  -44402.871094    9910.380859
        10  -44283.519531   10437.908203
