# Cycle: 1900, status: ACC, move: ('sh', 0.1091329464460666, 1, 4)
#     Time      Potential        Kinetic
         0  -44218.378906   10270.707031
         1  -44190.632812   10231.209961
         2  -44203.488281   10098.391602
         3  -44682.609375   10003.968750
         4  -43814.601562   12988.517578
         5  -44789.777344   10242.216797
         6  -44380.273438   10118.082031
         7  -43950.437500   10219.245117
         8  -44047.000000   10073.181641
         9  -43949.921875   10555.807617
        10  -43944.449219   10508.633789
