# Cycle: 0, status: ACC, move: ('ld', 0, 0, 0)
#     Time      Potential        Kinetic
         0            nan            nan
         1            nan            nan
         2            nan            nan
         3            nan            nan
         4            nan            nan
# Cycle: 1, status: ACC, move: ('sh', 0.10981347822558005, 2, 6)
#     Time      Potential        Kinetic
         0  -43997.359375   10274.372070
         1  -44405.687500   10000.891602
         2  -43975.417969   10156.485352
         3  -44087.632812    9848.208984
         4  -43396.707031   10350.185547
         5  -43907.914062    9914.499023
         6  -41677.492188   12953.597656
         7  -43699.914062    9997.435547
# Cycle: 2, status: ACC, move: ('s-', 0.10981347822558005, 2, 1)
#     Time      Potential        Kinetic
         0  -43131.015625   10318.611328
         1  -41677.492188   13027.678711
         2  -43971.429688    9557.702148
# Cycle: 3, status: ACC, move: ('s-', 0.10981347822558005, 2, 6)
#     Time      Potential        Kinetic
         0  -43997.359375   10274.372070
         1  -44405.687500   10000.891602
         2  -43975.417969   10156.485352
         3  -44087.632812    9848.208984
         4  -43396.707031   10350.185547
         5  -43907.914062    9914.499023
         6  -41677.492188   12953.597656
         7  -43699.914062    9997.435547
# Cycle: 4, status: ACC, move: ('s+', 0, 0, 0)
#     Time      Potential        Kinetic
         0  -43741.277344   10666.669922
         1  -43813.308594   10246.646484
         2  -44312.234375   10055.025391
         3  -44131.578125    9836.942383
         4  -43855.742188    9669.388672
         5  -41677.492188   13082.240234
         6  -43637.410156    9873.125000
         7  -44074.562500   10013.302734
         8  -44070.304688    9788.687500
         9  -44076.320312   10308.029297
# Cycle: 5, status: ACC, move: ('s-', 0.10981347822558005, 1, 2)
#     Time      Potential        Kinetic
         0  -43619.351562   10060.242188
         1  -44074.429688   10032.158203
         2  -41677.492188   12934.350586
         3  -43843.492188    9926.638672
         4  -43599.582031   10240.230469
# Cycle: 6, status: NCR, move: ('sh', 0.1085080642164445, 1, 1)
#     Time      Potential        Kinetic
         0  -44206.796875   10301.435547
         1  -43846.699219   12761.484375
         2  -43894.128906    9735.939453
# Cycle: 7, status: FTL, move: ('sh', 0.1090687856354878, 3, 3)
#     Time      Potential        Kinetic
         0  -43840.625000   10469.434570
         1  -43727.535156   10446.003906
         2  -44219.730469   10054.472656
         3  -43695.851562   12666.784180
         4  -43944.324219   10357.700195
         5  -43925.820312   10042.741211
# Cycle: 8, status: NCR, move: ('sh', 0.1090687856354878, 3, 1)
#     Time      Potential        Kinetic
         0  -44272.042969    9960.927734
         1  -43695.851562   12726.613281
         2  -44097.476562   10252.746094
# Cycle: 9, status: ACC, move: ('s-', 0.11076551810017414, 1, 1)
#     Time      Potential        Kinetic
         0  -44388.191406   10124.916016
         1  -43653.101562   12822.729492
         2  -44039.714844   10116.296875
# Cycle: 10, status: ACC, move: ('s-', 0.10981347822558005, 1, 2)
#     Time      Potential        Kinetic
         0  -43619.351562   10060.242188
         1  -44074.429688   10032.158203
         2  -41677.492188   12934.350586
         3  -43843.492188    9926.638672
         4  -43599.582031   10240.230469
# Cycle: 11, status: NCR, move: ('s+', 0.10936635680134921, 4, 3)
#     Time      Potential        Kinetic
         0  -44206.519531    9955.681641
         1  -44287.238281   10298.566406
         2  -44253.691406   10099.870117
         3  -44230.218750   12641.027344
         4  -44115.300781    9722.571289
         5  -44271.128906   10351.676758
         6  -43954.292969   10031.665039
         7  -44401.765625    9892.054688
         8  -43957.980469    9895.179688
         9  -43654.238281   10096.376953
# Cycle: 12, status: NCR, move: ('s+', 0.10936635680134921, 4, 3)
#     Time      Potential        Kinetic
         0  -44206.519531    9955.681641
         1  -44287.238281   10298.566406
         2  -44253.691406   10099.870117
         3  -44230.218750   12641.027344
         4  -44115.300781    9722.571289
         5  -44271.128906   10351.676758
         6  -43954.292969   10031.665039
         7  -44401.765625    9892.054688
         8  -43957.980469    9895.179688
         9  -43654.238281   10096.376953
# Cycle: 13, status: ACC, move: ('tr', 0, 0, 0)
#     Time      Potential        Kinetic
         0  -43599.582031   10240.230469
         1  -43843.492188    9926.638672
         2  -41677.492188   12934.350586
         3  -44074.429688   10032.158203
         4  -43619.351562   10060.242188
# Cycle: 14, status: NCR, move: ('s+', 0, 0, 0)
#     Time      Potential        Kinetic
         0  -43654.238281   10096.376953
         1  -43957.980469    9895.179688
         2  -44401.765625    9892.054688
         3  -43954.292969   10031.665039
         4  -44271.128906   10351.676758
