# Cycle: 1150, status: ACC
#     Step              Filename       index    vel
         0    003_4710_trajF.trr           3     -1
         1    003_4710_trajF.trr           2     -1
         2    003_4710_trajF.trr           1     -1
         3    003_4709_trajB.trr           0      1
         4    003_4709_trajB.trr           1      1
         5    003_4709_trajB.trr           2      1
         6    003_4709_trajB.trr           3      1
         7    003_4709_trajB.trr           4      1
         8    003_4709_trajB.trr           5      1
         9    003_4709_trajB.trr           6      1
        10    003_4709_trajB.trr           7      1
        11    003_4709_trajB.trr           8      1
        12    003_4709_trajB.trr           9      1
        13    003_4709_trajB.trr          10      1
        14    003_4709_trajB.trr          11      1
        15    003_4709_trajB.trr          12      1
        16    003_4709_trajB.trr          13      1
        17    003_4709_trajB.trr          14      1
