# Cycle: 500, status: ACC, move: ('s+', 0, 0, 0)
#     Time      Potential        Kinetic
         0  -44491.132812    9801.660156
         1  -44107.417969   10004.710938
         2  -44091.613281   10087.492188
         3  -44210.257812   10148.249023
         4  -44596.972656   10176.866211
         5  -44440.867188    9855.052734
         6  -44138.175781    9878.037109
         7  -43999.113281   10429.880859
         8  -44275.988281   10365.304688
         9  -44214.449219    9991.688477
        10  -44581.699219   12869.292969
        11  -44212.937500   10074.329102
        12  -44141.500000    9811.167969
        13  -44183.585938   10048.521484
        14  -44331.933594    9760.832031
        15  -44026.550781   10208.443359
        16  -43981.386719   10143.580078
        17  -44460.621094   10153.490234
        18  -44340.023438    9989.896484
        19  -44269.433594   10306.954102
        20  -44124.800781    9828.696289
        21  -44300.023438    9991.371094
        22  -44253.695312    9867.412109
        23  -44054.960938   10282.916016
        24  -43878.296875    9861.534180
