# Cycle: 0, status: ACC, move: ('ki', 0, 0, 0)
#     Time      Potential        Kinetic
         0  -43756.507812   10219.398438
         1  -43946.355469   10270.033203
         2  -43712.597656   12700.714844
         3  -43995.003906   10137.491211
         4  -43760.003906   10361.608398
         5  -44071.160156    9945.117188
         6  -44132.242188   10081.052734
         7  -44056.324219    9742.396484
# Cycle: 1, status: NCR, move: ('sh', 0.10944404963267759, 5, 2)
#     Time      Potential        Kinetic
         0  -43838.433594   10086.857422
         1  -44192.621094   10474.845703
         2  -43872.207031   12840.552734
         3  -44400.679688   10228.951172
         4  -44207.578125    9717.166016
         5  -44454.812500   10082.986328
         6  -44794.273438   10013.964844
         7  -44051.015625   10033.394531
         8  -44314.765625   10244.873047
# Cycle: 2, status: NCR, move: ('s-', 0, 0, 0)
#     Time      Potential        Kinetic
         0  -43741.277344   10666.669922
         1  -43813.308594   10246.646484
         2  -44312.234375   10055.025391
         3  -44131.578125    9836.942383
         4  -43855.742188    9669.388672
         5  -41677.492188   13082.240234
         6  -43637.410156    9873.125000
         7  -44074.562500   10013.302734
         8  -44070.304688    9788.687500
         9  -44076.320312   10308.029297
# Cycle: 3, status: NCR, move: ('s-', 0, 0, 0)
#     Time      Potential        Kinetic
         0  -43741.277344   10666.669922
         1  -43813.308594   10246.646484
         2  -44312.234375   10055.025391
         3  -44131.578125    9836.942383
         4  -43855.742188    9669.388672
         5  -41677.492188   13082.240234
         6  -43637.410156    9873.125000
         7  -44074.562500   10013.302734
         8  -44070.304688    9788.687500
         9  -44076.320312   10308.029297
# Cycle: 4, status: ACC, move: ('s+', 0, 0, 0)
#     Time      Potential        Kinetic
         0  -44278.316406   10229.949219
         1  -44266.804688   10280.648438
         2  -44349.015625   10055.735352
         3  -43985.187500   10421.490234
         4  -44581.304688   10124.242188
         5  -44437.035156   12767.401367
         6  -44439.437500    9986.423828
         7  -43995.011719   10459.073242
# Cycle: 5, status: NCR, move: ('s-', 0.10981347822558005, 2, 6)
#     Time      Potential        Kinetic
         0  -43997.359375   10274.372070
         1  -44405.687500   10000.891602
         2  -43975.417969   10156.485352
         3  -44087.632812    9848.208984
         4  -43396.707031   10350.185547
         5  -43907.914062    9914.499023
         6  -41677.492188   12953.597656
         7  -43699.914062    9997.435547
# Cycle: 6, status: ACC, move: ('sh', 0.1091146186356347, 1, 4)
#     Time      Potential        Kinetic
         0  -44187.734375   10069.929688
         1  -44018.929688   10260.460938
         2  -44139.121094   10214.558594
         3  -44830.207031    9651.131836
         4  -44163.789062   12743.154297
         5  -44579.781250   10267.825195
# Cycle: 7, status: FTL, move: ('sh', 0.1091146186356347, 4, 3)
#     Time      Potential        Kinetic
         0  -44187.382812    9802.146484
         1  -43910.414062   10219.808594
         2  -44286.187500    9837.708984
         3  -44163.789062   12781.933594
         4  -44490.406250   10054.435547
         5  -44263.355469   10057.791016
# Cycle: 8, status: NCR, move: ('sh', 0.1091146186356347, 4, 1)
#     Time      Potential        Kinetic
         0  -44344.648438    9941.196289
         1  -44163.789062   12778.083984
         2  -44334.406250   10229.488281
         3  -44397.476562    9696.306641
         4  -43890.562500   10481.802734
         5  -44294.929688   10014.455078
# Cycle: 9, status: NCR, move: ('s-', 0.10936635680134921, 4, 3)
#     Time      Potential        Kinetic
         0  -44206.519531    9955.681641
         1  -44287.238281   10298.566406
         2  -44253.691406   10099.870117
         3  -44230.218750   12641.027344
         4  -44115.300781    9722.571289
         5  -44271.128906   10351.676758
         6  -43954.292969   10031.665039
         7  -44401.765625    9892.054688
         8  -43957.980469    9895.179688
         9  -43654.238281   10096.376953
# Cycle: 10, status: NCR, move: ('s-', 0.10936635680134921, 4, 3)
#     Time      Potential        Kinetic
         0  -44206.519531    9955.681641
         1  -44287.238281   10298.566406
         2  -44253.691406   10099.870117
         3  -44230.218750   12641.027344
         4  -44115.300781    9722.571289
         5  -44271.128906   10351.676758
         6  -43954.292969   10031.665039
         7  -44401.765625    9892.054688
         8  -43957.980469    9895.179688
         9  -43654.238281   10096.376953
# Cycle: 11, status: NCR, move: ('s+', 0.1111665417290648, 2, 1)
#     Time      Potential        Kinetic
         0  -44095.218750    9640.378906
         1  -43984.773438   12734.970703
         2  -43773.398438   10473.138672
# Cycle: 12, status: NCR, move: ('s+', 0.1111665417290648, 2, 1)
#     Time      Potential        Kinetic
         0  -44095.218750    9640.378906
         1  -43984.773438   12734.970703
         2  -43773.398438   10473.138672
# Cycle: 13, status: ACC, move: ('tr', 0, 0, 0)
#     Time      Potential        Kinetic
         0  -44579.781250   10267.825195
         1  -44163.789062   12743.154297
         2  -44830.207031    9651.131836
         3  -44139.121094   10214.558594
         4  -44018.929688   10260.460938
         5  -44187.734375   10069.929688
# Cycle: 14, status: NCR, move: ('s+', 0, 0, 0)
#     Time      Potential        Kinetic
         0  -43773.398438   10473.138672
         1  -43984.773438   12734.970703
         2  -44095.218750    9640.378906
# Cycle: 15, status: NCR, move: ('sh', 0.1091146186356347, 1, 1)
#     Time      Potential        Kinetic
         0  -44133.742188   10065.061523
         1  -44163.789062   12813.606445
         2  -44210.878906   10247.701172
         3  -44240.687500   10486.388672
         4  -44241.644531   10265.132812
# Cycle: 16, status: NCR, move: ('s-', 0, 0, 0)
#     Time      Potential        Kinetic
         0  -43654.238281   10096.376953
         1  -43957.980469    9895.179688
         2  -44401.765625    9892.054688
         3  -43954.292969   10031.665039
         4  -44271.128906   10351.676758
         5  -44115.300781    9722.571289
         6  -44230.218750   12641.027344
         7  -44253.691406   10099.870117
         8  -44287.238281   10298.566406
         9  -44206.519531    9955.681641
# Cycle: 17, status: ACC, move: ('tr', 0, 0, 0)
#     Time      Potential        Kinetic
         0  -44187.734375   10069.929688
         1  -44018.929688   10260.460938
         2  -44139.121094   10214.558594
         3  -44830.207031    9651.131836
         4  -44163.789062   12743.154297
         5  -44579.781250   10267.825195
# Cycle: 18, status: NCR, move: ('sh', 0.10901376059929332, 1, 2)
#     Time      Potential        Kinetic
         0  -44324.992188   10089.720703
         1  -44039.542969    9760.072266
         2  -43917.511719   13038.646484
         3  -44155.855469   10059.318359
# Cycle: 19, status: NCR, move: ('s-', 0, 0, 0)
#     Time      Potential        Kinetic
         0  -44206.519531    9955.681641
         1  -44287.238281   10298.566406
         2  -44253.691406   10099.870117
         3  -44230.218750   12641.027344
         4  -44115.300781    9722.571289
         5  -44271.128906   10351.676758
         6  -43954.292969   10031.665039
         7  -44401.765625    9892.054688
         8  -43957.980469    9895.179688
         9  -43654.238281   10096.376953
# Cycle: 20, status: NCR, move: ('s-', 0, 0, 0)
#     Time      Potential        Kinetic
         0  -44206.519531    9955.681641
         1  -44287.238281   10298.566406
         2  -44253.691406   10099.870117
         3  -44230.218750   12641.027344
         4  -44115.300781    9722.571289
         5  -44271.128906   10351.676758
         6  -43954.292969   10031.665039
         7  -44401.765625    9892.054688
         8  -43957.980469    9895.179688
         9  -43654.238281   10096.376953
# Cycle: 21, status: NCR, move: ('sh', 0.10874281585465759, 3, 2)
#     Time      Potential        Kinetic
         0  -44465.113281   10164.798828
         1  -44261.539062   10066.713867
         2  -44611.097656   12771.158203
         3  -44398.679688    9772.142578
         4  -44001.445312   10432.173828
         5  -43907.437500   10305.734375
# Cycle: 22, status: NCR, move: ('s+', 0, 0, 0)
#     Time      Potential        Kinetic
         0  -43756.507812   10219.398438
