# Cycle: 1600, status: ACC, move: ('tr', 0, 0, 0)
#     Time      Potential        Kinetic
         0  -44484.347656   10168.835938
         1  -44601.894531    9819.714844
         2  -44761.378906   10102.300781
         3  -44772.296875    9765.837891
         4  -44795.640625   10266.208984
         5  -44642.687500   12999.041992
         6  -44125.152344   10001.881836
         7  -44316.527344   10286.659180
         8  -43907.937500   10386.916992
         9  -44452.187500   10097.191406
        10  -44596.906250    9773.527344
