# Cycle: 650, status: ACC, move: ('s+', 0, 0, 0)
#     Time       Orderp
         0     0.107924
         1     0.108828
         2     0.109264
         3     0.108984
         4     0.108537
         5     0.109022
         6     0.109279
         7     0.109097
         8     0.110540
         9     0.109586
        10     0.108835
        11     0.109551
        12     0.108551
        13     0.108538
        14     0.109373
        15     0.108584
        16     0.109033
        17     0.110919
        18     0.109293
        19     0.109788
        20     0.110809
        21     0.107786
