# Cycle: 850, status: ACC, move: ('s-', 0, 0, 0)
#     Time      Potential        Kinetic
         0  -44104.046875   10133.396484
         1  -44533.734375   10025.562500
         2  -43962.980469   12947.847656
         3  -44856.753906    9923.918945
         4  -44094.312500   10269.889648
         5  -44122.367188    9949.291016
         6  -44481.007812   10006.909180
         7  -44634.742188   10189.893555
         8  -44229.003906   10015.519531
         9  -44301.355469   10045.619141
        10  -44634.187500    9941.319336
        11  -44439.617188    9964.837891
