# Cycle: 1100, status: NCR, move: ('s-', 0, 0, 0)
#     Time       Orderp
         0     0.107936
         1     0.108590
         2     0.109465
         3     0.108901
         4     0.109102
         5     0.108937
         6     0.108674
         7     0.108531
         8     0.108572
         9     0.109134
        10     0.108658
        11     0.109455
        12     0.109305
        13     0.108806
        14     0.110205
        15     0.109868
        16     0.109249
        17     0.108701
        18     0.108293
