# Cycle: 400, status: NCR, move: ('s+', 0, 0, 0)
#     Time      Potential        Kinetic
         0  -44631.320312    9999.455078
         1  -44097.613281    9960.752930
         2  -44130.414062   10321.570312
         3  -44212.160156   10441.164062
         4  -44529.191406   10094.928711
         5  -43805.996094   10252.864258
         6  -44146.468750    9773.857422
         7  -44005.332031   12958.642578
         8  -44552.511719   10180.021484
         9  -44116.277344   10247.767578
        10  -44138.886719   10358.810547
        11  -44179.792969   10116.561523
        12  -43975.937500   10111.916992
        13  -44213.765625    9951.806641
        14  -44501.558594   10099.505859
        15  -44194.574219   10029.570312
        16  -44294.687500   10117.667969
        17  -44747.082031    9688.576172
