# Cycle: 400, status: NCR, move: ('s+', 0, 0, 0)
#     Time       Orderp
         0     0.108048
         1     0.109207
         2     0.109210
         3     0.108974
         4     0.108674
         5     0.109349
         6     0.108637
         7     0.111126
         8     0.110020
         9     0.109501
        10     0.109566
        11     0.109191
        12     0.109131
        13     0.108689
        14     0.108635
        15     0.108563
        16     0.109264
        17     0.108270
