# Cycle: 400, status: NCR
#     Step              Filename       index    vel
         0    005_1677_trajF.trr           7     -1
         1    005_1677_trajF.trr           6     -1
         2    005_1677_trajF.trr           5     -1
         3    005_1677_trajF.trr           4     -1
         4    005_1677_trajF.trr           3     -1
         5    005_1677_trajF.trr           2     -1
         6    005_1677_trajF.trr           1     -1
         7    005_1676_trajB.trr           0      1
         8    005_1676_trajB.trr           1      1
         9    005_1676_trajB.trr           2      1
        10    005_1676_trajB.trr           3      1
        11    005_1676_trajB.trr           4      1
        12    005_1676_trajB.trr           5      1
        13    005_1676_trajB.trr           6      1
        14    005_1676_trajB.trr           7      1
        15    005_1676_trajB.trr           8      1
        16    005_1676_trajB.trr           9      1
        17    005_1676_trajB.trr          10      1
