# Cycle: 1250, status: NCR, move: ('sh', 0.11002272492535382, 5, 2)
#     Time      Potential        Kinetic
         0  -44147.320312   10053.238281
         1  -44291.066406   10021.351562
         2  -44450.558594   12896.699219
         3  -44722.425781    9491.710938
         4  -44127.742188   10566.095703
         5  -44484.605469    9799.144531
         6  -44557.324219   10150.017578
         7  -44485.863281   10107.730469
         8  -44382.148438   10143.329102
         9  -44399.695312    9914.916016
