# Cycle: 0, status: ACC, move: ('ki', 0, 0, 0)
#     Time       Orderp
         0     0.108305
         1     0.109709
         2     0.109604
         3     0.108900
         4     0.110173
         5     0.111310
         6     0.109649
         7     0.107805
# Cycle: 1, status: ACC, move: ('sh', 0.11131037687475502, 5, 3)
#     Time       Orderp
         0     0.108197
         1     0.108510
         2     0.109663
         3     0.111310
         4     0.107879
# Cycle: 2, status: NCR, move: ('s+', 0, 0, 0)
#     Time       Orderp
         0     0.108272
         1     0.111018
         2     0.111808
         3     0.108197
# Cycle: 3, status: NCR, move: ('s+', 0, 0, 0)
#     Time       Orderp
         0     0.108272
         1     0.111018
         2     0.111808
         3     0.108197
# Cycle: 4, status: NCR, move: ('s-', 0, 0, 0)
#     Time       Orderp
         0     0.108273
         1     0.110829
         2     0.111167
         3     0.108070
# Cycle: 5, status: NCR, move: ('s+', 0, 0, 0)
#     Time       Orderp
         0     0.108498
         1     0.111432
         2     0.112152
# Cycle: 6, status: FTL, move: ('sh', 0.10898623766329385, 1, 2)
#     Time       Orderp
         0     0.108341
         1     0.109966
         2     0.108986
         3     0.109015
         4     0.108584
         5     0.109536
# Cycle: 7, status: NCR, move: ('sh', 0.10934349546269324, 2, 2)
#     Time       Orderp
         0     0.108227
         1     0.109275
         2     0.109343
         3     0.108212
# Cycle: 8, status: ACC, move: ('sh', 0.11131037687475502, 3, 1)
#     Time       Orderp
         0     0.107759
         1     0.111310
         2     0.109468
         3     0.110560
         4     0.109722
         5     0.108149
# Cycle: 9, status: NCR, move: ('s+', 0, 0, 0)
#     Time       Orderp
         0     0.108498
         1     0.111432
         2     0.112152
# Cycle: 10, status: NCR, move: ('s+', 0, 0, 0)
#     Time       Orderp
         0     0.108498
         1     0.111432
         2     0.112152
# Cycle: 11, status: NCR, move: ('s-', 0, 0, 0)
#     Time       Orderp
         0     0.108197
         1     0.108930
         2     0.110209
         3     0.111189
         4     0.108985
         5     0.109168
         6     0.109011
         7     0.108427
# Cycle: 12, status: NCR, move: ('s-', 0, 0, 0)
#     Time       Orderp
         0     0.108197
         1     0.108930
         2     0.110209
         3     0.111189
         4     0.108985
         5     0.109168
         6     0.109011
         7     0.108427
# Cycle: 13, status: ACC, move: ('tr', 0, 0, 0)
#     Time       Orderp
         0     0.108149
         1     0.109722
         2     0.110560
         3     0.109468
         4     0.111310
         5     0.107759
# Cycle: 14, status: NCR, move: ('s-', 0, 0, 0)
#     Time       Orderp
         0     0.108427
         1     0.109011
         2     0.109168
         3     0.108985
         4     0.111189
         5     0.110209
         6     0.108930
         7     0.108197
# Cycle: 15, status: NCR, move: ('sh', 0.10954907576059236, 3, 2)
#     Time       Orderp
         0     0.108356
         1     0.109035
         2     0.109549
         3     0.109169
         4     0.108727
         5     0.109313
         6     0.108265
# Cycle: 16, status: NCR, move: ('s+', 0.11180787092150518, 1, 2)
#     Time       Orderp
         0     0.108192
         1     0.108766
         2     0.111808
         3     0.108454
# Cycle: 17, status: ACC, move: ('tr', 0, 0, 0)
#     Time       Orderp
         0     0.107759
         1     0.111310
         2     0.109468
         3     0.110560
         4     0.109722
         5     0.108149
# Cycle: 18, status: ACC, move: ('sh', 0.11131037687475502, 1, 2)
#     Time       Orderp
         0     0.108415
         1     0.109980
         2     0.111310
         3     0.109377
         4     0.109010
         5     0.108787
         6     0.108231
# Cycle: 19, status: NCR, move: ('s+', 0, 0, 0)
#     Time       Orderp
         0     0.108454
         1     0.111808
         2     0.108766
         3     0.108192
# Cycle: 20, status: NCR, move: ('s+', 0, 0, 0)
#     Time       Orderp
         0     0.108454
         1     0.111808
         2     0.108766
         3     0.108192
# Cycle: 21, status: NCR, move: ('sh', 0.10951712194903587, 1, 3)
#     Time       Orderp
         0     0.108378
         1     0.108687
         2     0.109087
         3     0.109243
         4     0.108230
# Cycle: 22, status: NCR, move: ('s-', 0.1111665417290648, 1, 2)
#     Time       Orderp
         0     0.108410
         1     0.110280
         2     0.111167
         3     0.108410
# Cycle: 23, status: NCR, move: ('s-', 0.1111665417290648, 1, 2)
