# Cycle: 1250, status: BTL, move: ('sh', 0.1086738238951772, 1, 0)
#     Time      Potential        Kinetic
         0  -44031.175781   12952.541992
         1  -43814.152344   10260.536133
         2  -44307.679688    9805.578125
         3  -44001.292969   10308.609375
         4  -44152.820312   10018.853516
         5  -44583.312500    9605.115234
         6  -44079.832031   10592.609375
         7  -44036.164062   10577.099609
         8  -44252.187500   10156.527344
         9  -44573.250000   10064.650391
        10  -44261.328125   10154.796875
        11  -44217.554688   10052.677734
