# Cycle: 250, status: FTL, move: ('sh', 0.11143159336561596, 3, 4)
#     Time      Potential        Kinetic
         0  -44100.332031   10201.432617
         1  -43859.625000   10002.900391
         2  -44865.507812    9796.456055
         3  -44196.234375   10291.584961
         4  -44111.265625   12885.646484
         5  -44047.300781   10167.430664
         6  -43801.589844   10275.571289
         7  -44160.796875   10206.470703
         8  -44102.398438    9990.316406
         9  -44283.843750   10297.204102
