# Cycle: 1500, status: ACC, move: ('00', 0.11175419455215096, 10, 1)
#     Time      Potential        Kinetic
         0  -44774.207031    9690.164062
         1  -44362.265625   12783.937500
         2  -44590.164062    9764.089844
         3  -44371.140625   10099.531250
         4  -44558.332031   10013.888672
         5  -44230.609375   10229.679688
         6  -44502.792969   10098.671875
         7  -45006.371094    9840.998047
         8  -44397.406250    9970.364258
         9  -44334.484375    9843.689453
        10  -44373.632812   10024.861328
        11  -44433.277344   10211.425781
        12  -44427.015625    9726.053711
        13  -44333.894531    9898.468750
        14  -44101.246094   10322.095703
        15  -44232.625000   10117.554688
