# Cycle: 400, status: ACC, move: ('00', 0, 0, 0)
#     Time      Potential        Kinetic
         0  -44000.371094   10243.671875
         1  -44112.164062   10148.431641
         2  -44218.875000   10152.403320
         3  -44403.507812   12837.638672
         4  -44117.730469   10401.445312
         5  -43789.925781   10238.500977
         6  -44268.421875   10027.826172
         7  -43952.328125   10104.259766
         8  -43885.117188   10392.845703
         9  -44129.824219   10177.052734
