# Cycle: 1200, status: NCR, move: ('s-', 0, 0, 0)
#     Time      Potential        Kinetic
         0  -44233.390625    9774.105469
         1  -43968.636719   10448.588867
         2  -43949.003906   10332.229492
         3  -44568.003906    9776.926758
         4  -43979.808594   12975.785156
         5  -44111.796875   10109.602539
         6  -44038.082031   10143.467773
         7  -44418.710938   10160.873047
         8  -44632.867188   10031.088867
         9  -44572.863281   10427.208984
        10  -44299.312500   10076.929688
        11  -44234.566406   10245.258789
        12  -44458.863281   10038.835938
        13  -44115.390625   10020.686523
        14  -44251.707031    9943.664062
